PRISM Time Series Data
Locations: 31
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1966-01 - 1980-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2018-Nov-13
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
SD241782,-120.6667,36.5839,331.0,1972-06,0.00,14.0,23.5,33.0
SD241782,-120.6667,36.5839,331.0,1972-07,0.00,15.4,25.8,36.2
SD241782,-120.6667,36.5839,331.0,1972-08,0.00,15.0,24.7,34.5
SD241782,-120.6667,36.5839,331.0,1972-09,2.86,12.4,21.3,30.1
SD241782,-120.6667,36.5839,331.0,1972-10,18.43,9.9,16.9,23.9
SD241782,-120.6667,36.5839,331.0,1972-11,96.60,4.9,9.9,14.9
SD241782,-120.6667,36.5839,331.0,1972-12,31.52,0.3,5.5,10.7
SD241782,-120.6667,36.5839,331.0,1973-01,61.67,1.3,7.1,12.8
SD241782,-120.6667,36.5839,331.0,1973-02,126.87,4.6,9.9,15.2
SD241782,-120.6667,36.5839,331.0,1973-03,60.53,3.5,9.3,15.0
SD241782,-120.6667,36.5839,331.0,1973-04,2.98,6.4,14.6,22.9
SD241782,-120.6667,36.5839,331.0,1973-05,0.00,11.7,20.9,30.1
SD241782,-120.6667,36.5839,331.0,1973-06,0.00,14.8,24.4,33.9
SD241782,-120.6667,36.5839,331.0,1973-07,0.00,14.7,25.0,35.4
SD241782,-120.6667,36.5839,331.0,1973-08,0.00,14.7,24.6,34.6
SD241782,-120.6667,36.5839,331.0,1973-09,0.00,11.6,21.1,30.6
SD241782,-120.6667,36.5839,331.0,1973-10,31.39,8.4,16.7,25.0
SD241782,-120.6667,36.5839,331.0,1973-11,34.49,4.9,11.1,17.4
SD241782,-120.6667,36.5839,331.0,1973-12,56.79,2.7,8.2,13.8
SD241782,-120.6667,36.5839,331.0,1974-01,49.38,2.4,7.9,13.5
SD241782,-120.6667,36.5839,331.0,1974-02,10.16,1.0,8.6,16.2
SD241782,-120.6667,36.5839,331.0,1974-03,60.43,5.1,11.5,17.9
SD241782,-120.6667,36.5839,331.0,1974-04,16.16,5.5,13.5,21.5
SD241782,-120.6667,36.5839,331.0,1974-05,0.00,9.3,18.8,28.2
SD241782,-120.6667,36.5839,331.0,1974-06,0.00,13.3,23.1,33.0
SD241782,-120.6667,36.5839,331.0,1974-07,5.23,15.5,25.1,34.7
SD241782,-120.6667,36.5839,331.0,1974-08,0.00,15.0,24.9,34.7
SD241782,-120.6667,36.5839,331.0,1974-09,0.00,14.1,24.1,34.1
SD241782,-120.6667,36.5839,331.0,1974-10,25.28,10.6,18.4,26.2
SD241782,-120.6667,36.5839,331.0,1974-11,11.05,3.9,11.2,18.4
SD241782,-120.6667,36.5839,331.0,1974-12,54.54,1.5,7.1,12.8
SD241782,-120.6667,36.5839,331.0,1975-01,3.12,-0.1,7.0,14.1
SD241782,-120.6667,36.5839,331.0,1975-02,97.62,3.2,8.9,14.7
SD241782,-120.6667,36.5839,331.0,1975-03,66.51,3.9,10.2,16.4
SD241782,-120.6667,36.5839,331.0,1975-04,23.22,3.6,11.0,18.4
SD241782,-120.6667,36.5839,331.0,1975-05,0.00,9.3,18.7,28.1
SD241782,-120.6667,36.5839,331.0,1975-06,0.00,12.0,22.2,32.4
SD241782,-120.6667,36.5839,331.0,1975-07,0.00,13.5,23.9,34.3
SD241782,-120.6667,36.5839,331.0,1975-08,7.56,13.3,23.4,33.4
SD241782,-120.6667,36.5839,331.0,1975-09,1.92,13.8,23.5,33.3
SD241782,-120.6667,36.5839,331.0,1975-10,26.85,7.6,16.1,24.6
SD241782,-120.6667,36.5839,331.0,1975-11,4.70,2.5,10.3,18.2
SD241782,-120.6667,36.5839,331.0,1975-12,4.22,-0.0,7.9,15.7
SD241782,-120.6667,36.5839,331.0,1976-01,0.32,-1.6,7.5,16.6
SD241782,-120.6667,36.5839,331.0,1976-02,67.11,3.0,9.8,16.7
SD241782,-120.6667,36.5839,331.0,1976-03,16.27,3.0,10.7,18.5
SD241782,-120.6667,36.5839,331.0,1976-04,30.71,5.1,12.7,20.2
SD241782,-120.6667,36.5839,331.0,1976-05,0.00,10.0,19.8,29.6
SD241782,-120.6667,36.5839,331.0,1976-06,1.55,11.7,21.9,32.1
SD241782,-120.6667,36.5839,331.0,1976-07,0.00,14.8,24.9,35.0
SD241782,-120.6667,36.5839,331.0,1976-08,20.26,13.1,21.5,30.0
SD241782,-120.6667,36.5839,331.0,1976-09,55.66,13.7,21.8,29.9
SD241782,-120.6667,36.5839,331.0,1976-10,15.69,10.0,18.1,26.1
SD241782,-120.6667,36.5839,331.0,1976-11,22.00,6.0,12.9,19.9
SD241782,-120.6667,36.5839,331.0,1976-12,16.01,-1.5,7.9,17.2
SD241782,-120.6667,36.5839,331.0,1977-01,21.36,1.2,6.4,11.7
SD241782,-120.6667,36.5839,331.0,1977-02,9.29,2.4,10.5,18.5
SD241782,-120.6667,36.5839,331.0,1977-03,18.41,1.4,9.4,17.4
SD241782,-120.6667,36.5839,331.0,1977-04,0.00,6.1,16.0,25.9
SD241782,-120.6667,36.5839,331.0,1977-05,26.57,7.6,15.1,22.6
SD241782,-120.6667,36.5839,331.0,1977-06,2.60,13.9,23.9,34.0
SD241782,-120.6667,36.5839,331.0,1977-07,0.00,13.9,24.8,35.6
SD241782,-120.6667,36.5839,331.0,1977-08,0.00,15.4,24.9,34.5
SD241782,-120.6667,36.5839,331.0,1977-09,0.00,12.5,21.8,31.0
SD241782,-120.6667,36.5839,331.0,1977-10,1.65,9.6,18.5,27.3
SD241782,-120.6667,36.5839,331.0,1977-11,9.89,4.8,12.6,20.4
SD241782,-120.6667,36.5839,331.0,1977-12,84.02,4.7,10.6,16.5
SD241782,-120.6667,36.5839,331.0,1978-01,80.08,5.2,10.0,14.9
SD241782,-120.6667,36.5839,331.0,1978-02,121.95,4.8,10.0,15.1
SD241782,-120.6667,36.5839,331.0,1978-03,105.10,8.0,13.6,19.3
SD241782,-120.6667,36.5839,331.0,1978-04,71.23,6.5,13.1,19.7
SD241782,-120.6667,36.5839,331.0,1978-05,0.00,9.6,18.8,28.1
SD241782,-120.6667,36.5839,331.0,1978-06,0.00,12.1,22.2,32.4
SD241782,-120.6667,36.5839,331.0,1978-07,0.00,14.4,24.9,35.5
SD241782,-120.6667,36.5839,331.0,1978-08,0.00,14.6,24.6,34.6
SD241782,-120.6667,36.5839,331.0,1978-09,16.85,11.7,20.7,29.6
SD241782,-120.6667,36.5839,331.0,1978-10,0.00,9.9,19.7,29.4
SD241782,-120.6667,36.5839,331.0,1978-11,42.44,2.8,10.2,17.5
SD241782,-120.6667,36.5839,331.0,1978-12,18.45,-0.7,5.6,12.0
SD241782,-120.6667,36.5839,331.0,1979-01,63.56,1.3,7.1,12.9
SD241782,-120.6667,36.5839,331.0,1979-02,86.13,2.3,8.5,14.7
SD241782,-120.6667,36.5839,331.0,1979-03,53.40,5.9,11.8,17.8
SD241782,-120.6667,36.5839,331.0,1979-04,5.81,5.6,14.1,22.6
SD241782,-120.6667,36.5839,331.0,1979-05,1.17,10.1,19.7,29.2
SD241782,-120.6667,36.5839,331.0,1979-06,0.00,12.7,23.4,34.1
SD241782,-120.6667,36.5839,331.0,1979-07,1.08,14.6,24.7,34.8
SD241782,-120.6667,36.5839,331.0,1979-08,0.00,13.7,23.4,33.1
SD241782,-120.6667,36.5839,331.0,1979-09,0.00,13.4,23.5,33.6
SD241782,-120.6667,36.5839,331.0,1979-10,16.42,10.7,18.5,26.3
SD241782,-120.6667,36.5839,331.0,1979-11,25.29,4.0,11.4,18.7
SD241782,-120.6667,36.5839,331.0,1979-12,36.28,1.1,9.1,17.0
SD241782,-120.6667,36.5839,331.0,1980-01,63.25,4.6,9.7,14.7
SD241782,-120.6667,36.5839,331.0,1980-02,112.06,4.9,11.0,17.0
SD241782,-120.6667,36.5839,331.0,1980-03,37.06,3.5,10.4,17.3
SD241782,-120.6667,36.5839,331.0,1980-04,13.29,6.2,14.3,22.3
SD241782,-120.6667,36.5839,331.0,1980-05,4.09,8.6,17.0,25.3
SD241782,-120.6667,36.5839,331.0,1980-06,0.00,10.4,20.1,29.7
SD241782,-120.6667,36.5839,331.0,1980-07,2.33,15.1,25.0,34.9
SD241782,-120.6667,36.5839,331.0,1980-08,0.00,13.6,23.7,33.8
SD241782,-120.6667,36.5839,331.0,1980-09,0.00,11.7,21.5,31.4
SD241782,-120.6667,36.5839,331.0,1980-10,1.51,9.0,18.7,28.5
SD241782,-120.6667,36.5839,331.0,1980-11,2.28,3.1,12.3,21.5
SD241782,-120.6667,36.5839,331.0,1980-12,15.98,1.5,8.8,16.0

UC1529013,-120.1137,35.5657,580.0,1966-01,27.77,0.4,6.8,13.1
UC1529013,-120.1137,35.5657,580.0,1966-02,17.54,1.0,7.2,13.4
UC1529013,-120.1137,35.5657,580.0,1966-03,1.55,4.0,11.7,19.3
UC1529013,-120.1137,35.5657,580.0,1966-04,0.27,6.6,15.9,25.2
UC1529013,-120.1137,35.5657,580.0,1966-05,0.00,9.3,18.7,28.1
UC1529013,-120.1137,35.5657,580.0,1966-06,1.43,11.6,21.5,31.4
UC1529013,-120.1137,35.5657,580.0,1966-07,3.58,13.0,23.6,34.2
UC1529013,-120.1137,35.5657,580.0,1966-08,0.00,16.0,26.3,36.7
UC1529013,-120.1137,35.5657,580.0,1966-09,11.49,10.9,20.8,30.6
UC1529013,-120.1137,35.5657,580.0,1966-10,0.00,10.0,18.3,26.6
UC1529013,-120.1137,35.5657,580.0,1966-11,43.29,5.8,12.0,18.1
UC1529013,-120.1137,35.5657,580.0,1966-12,91.93,2.5,8.1,13.6
UC1529013,-120.1137,35.5657,580.0,1967-01,55.32,1.8,8.3,14.8
UC1529013,-120.1137,35.5657,580.0,1967-02,9.11,2.2,9.2,16.1
UC1529013,-120.1137,35.5657,580.0,1967-03,58.52,3.8,10.0,16.2
UC1529013,-120.1137,35.5657,580.0,1967-04,99.72,1.6,7.7,13.7
UC1529013,-120.1137,35.5657,580.0,1967-05,4.27,8.1,17.2,26.3
UC1529013,-120.1137,35.5657,580.0,1967-06,4.31,10.0,19.6,29.3
UC1529013,-120.1137,35.5657,580.0,1967-07,0.00,16.3,27.1,37.9
UC1529013,-120.1137,35.5657,580.0,1967-08,0.00,16.9,27.5,38.2
UC1529013,-120.1137,35.5657,580.0,1967-09,21.15,14.4,23.7,33.0
UC1529013,-120.1137,35.5657,580.0,1967-10,0.00,10.9,19.1,27.4
UC1529013,-120.1137,35.5657,580.0,1967-11,47.56,7.5,14.0,20.6
UC1529013,-120.1137,35.5657,580.0,1967-12,30.22,-0.1,6.5,13.0
UC1529013,-120.1137,35.5657,580.0,1968-01,15.87,0.0,7.2,14.4
UC1529013,-120.1137,35.5657,580.0,1968-02,17.08,6.3,11.7,17.0
UC1529013,-120.1137,35.5657,580.0,1968-03,33.68,4.3,11.5,18.7
UC1529013,-120.1137,35.5657,580.0,1968-04,18.28,6.1,14.5,22.8
UC1529013,-120.1137,35.5657,580.0,1968-05,1.99,7.5,17.0,26.4
UC1529013,-120.1137,35.5657,580.0,1968-06,0.00,12.2,22.6,33.0
UC1529013,-120.1137,35.5657,580.0,1968-07,0.00,15.6,26.0,36.4
UC1529013,-120.1137,35.5657,580.0,1968-08,0.00,13.1,23.1,33.1
UC1529013,-120.1137,35.5657,580.0,1968-09,0.00,11.8,22.1,32.3
UC1529013,-120.1137,35.5657,580.0,1968-10,50.19,10.3,17.6,25.0
UC1529013,-120.1137,35.5657,580.0,1968-11,29.26,5.6,11.2,16.7
UC1529013,-120.1137,35.5657,580.0,1968-12,52.74,0.4,6.6,12.7
UC1529013,-120.1137,35.5657,580.0,1969-01,192.53,3.0,7.9,12.8
UC1529013,-120.1137,35.5657,580.0,1969-02,148.74,2.1,6.8,11.6
UC1529013,-120.1137,35.5657,580.0,1969-03,17.60,2.8,9.8,16.8
UC1529013,-120.1137,35.5657,580.0,1969-04,41.00,5.4,12.9,20.5
UC1529013,-120.1137,35.5657,580.0,1969-05,0.49,9.2,18.2,27.3
UC1529013,-120.1137,35.5657,580.0,1969-06,0.00,11.3,20.0,28.7
UC1529013,-120.1137,35.5657,580.0,1969-07,0.00,15.0,25.3,35.6
UC1529013,-120.1137,35.5657,580.0,1969-08,0.00,14.4,25.5,36.5
UC1529013,-120.1137,35.5657,580.0,1969-09,4.41,13.4,23.1,32.9
UC1529013,-120.1137,35.5657,580.0,1969-10,5.06,8.5,16.1,23.7
UC1529013,-120.1137,35.5657,580.0,1969-11,15.34,3.7,11.9,20.1
UC1529013,-120.1137,35.5657,580.0,1969-12,11.74,2.3,9.1,15.9
UC1529013,-120.1137,35.5657,580.0,1970-01,48.32,3.9,9.6,15.2
UC1529013,-120.1137,35.5657,580.0,1970-02,17.58,4.1,10.5,16.9
UC1529013,-120.1137,35.5657,580.0,1970-03,67.13,4.5,11.2,17.8
UC1529013,-120.1137,35.5657,580.0,1970-04,2.62,2.9,11.3,19.7
UC1529013,-120.1137,35.5657,580.0,1970-05,0.00,8.0,17.9,27.8
UC1529013,-120.1137,35.5657,580.0,1970-06,0.00,12.1,21.8,31.4
UC1529013,-120.1137,35.5657,580.0,1970-07,0.00,15.7,26.1,36.5
UC1529013,-120.1137,35.5657,580.0,1970-08,0.00,15.0,25.2,35.5
UC1529013,-120.1137,35.5657,580.0,1970-09,0.00,10.5,21.3,32.1
UC1529013,-120.1137,35.5657,580.0,1970-10,1.27,9.4,17.5,25.5
UC1529013,-120.1137,35.5657,580.0,1970-11,68.59,5.4,12.2,18.9
UC1529013,-120.1137,35.5657,580.0,1970-12,76.94,2.7,7.8,12.8
UC1529013,-120.1137,35.5657,580.0,1971-01,14.36,1.2,7.4,13.7
UC1529013,-120.1137,35.5657,580.0,1971-02,4.66,1.1,8.1,15.0
UC1529013,-120.1137,35.5657,580.0,1971-03,10.87,3.0,10.4,17.7
UC1529013,-120.1137,35.5657,580.0,1971-04,18.69,4.0,12.1,20.3
UC1529013,-120.1137,35.5657,580.0,1971-05,18.88,7.2,15.3,23.5
UC1529013,-120.1137,35.5657,580.0,1971-06,0.00,10.8,20.6,30.4
UC1529013,-120.1137,35.5657,580.0,1971-07,0.00,15.3,25.5,35.8
UC1529013,-120.1137,35.5657,580.0,1971-08,0.00,16.1,26.0,35.9
UC1529013,-120.1137,35.5657,580.0,1971-09,0.00,12.0,21.9,31.7
UC1529013,-120.1137,35.5657,580.0,1971-10,4.95,7.7,16.2,24.7
UC1529013,-120.1137,35.5657,580.0,1971-11,11.88,2.4,10.2,18.0
UC1529013,-120.1137,35.5657,580.0,1971-12,78.72,0.5,6.3,12.1
UC1529013,-120.1137,35.5657,580.0,1972-01,6.90,-0.8,5.2,11.3
UC1529013,-120.1137,35.5657,580.0,1972-02,6.57,3.3,10.2,17.2
UC1529013,-120.1137,35.5657,580.0,1972-03,0.00,6.2,14.1,21.9
UC1529013,-120.1137,35.5657,580.0,1972-04,6.81,4.6,13.4,22.1
UC1529013,-120.1137,35.5657,580.0,1972-05,0.00,8.9,18.3,27.6
UC1529013,-120.1137,35.5657,580.0,1972-06,0.00,12.8,22.4,32.0
UC1529013,-120.1137,35.5657,580.0,1972-07,0.00,15.5,25.7,35.9
UC1529013,-120.1137,35.5657,580.0,1972-08,0.00,15.2,24.7,34.2
UC1529013,-120.1137,35.5657,580.0,1972-09,0.00,11.7,20.7,29.7
UC1529013,-120.1137,35.5657,580.0,1972-10,33.39,10.1,16.8,23.5
UC1529013,-120.1137,35.5657,580.0,1972-11,77.43,4.3,9.4,14.5
UC1529013,-120.1137,35.5657,580.0,1972-12,17.64,0.2,5.9,11.6
UC1529013,-120.1137,35.5657,580.0,1973-01,102.95,1.4,6.9,12.4
UC1529013,-120.1137,35.5657,580.0,1973-02,111.79,4.7,9.5,14.4
UC1529013,-120.1137,35.5657,580.0,1973-03,61.99,2.9,8.1,13.4
UC1529013,-120.1137,35.5657,580.0,1973-04,0.00,5.8,13.6,21.4
UC1529013,-120.1137,35.5657,580.0,1973-05,0.00,11.1,19.9,28.6
UC1529013,-120.1137,35.5657,580.0,1973-06,0.00,13.1,23.0,32.9
UC1529013,-120.1137,35.5657,580.0,1973-07,0.00,14.6,24.8,35.0
UC1529013,-120.1137,35.5657,580.0,1973-08,0.00,14.8,24.6,34.4
UC1529013,-120.1137,35.5657,580.0,1973-09,0.00,10.8,20.6,30.4
UC1529013,-120.1137,35.5657,580.0,1973-10,16.35,9.0,17.0,25.1
UC1529013,-120.1137,35.5657,580.0,1973-11,37.80,4.4,10.7,17.0
UC1529013,-120.1137,35.5657,580.0,1973-12,41.76,2.6,8.5,14.4
UC1529013,-120.1137,35.5657,580.0,1974-01,109.92,2.5,7.8,13.1
UC1529013,-120.1137,35.5657,580.0,1974-02,1.25,1.0,8.4,15.7
UC1529013,-120.1137,35.5657,580.0,1974-03,78.47,5.0,10.7,16.3
UC1529013,-120.1137,35.5657,580.0,1974-04,12.18,4.5,12.4,20.3
UC1529013,-120.1137,35.5657,580.0,1974-05,0.00,8.4,17.6,26.8
UC1529013,-120.1137,35.5657,580.0,1974-06,0.00,11.9,21.9,31.9
UC1529013,-120.1137,35.5657,580.0,1974-07,0.00,15.0,24.7,34.3
UC1529013,-120.1137,35.5657,580.0,1974-08,0.00,15.0,24.7,34.5
UC1529013,-120.1137,35.5657,580.0,1974-09,0.00,14.0,23.8,33.6
UC1529013,-120.1137,35.5657,580.0,1974-10,24.89,11.0,18.4,25.7
UC1529013,-120.1137,35.5657,580.0,1974-11,6.74,3.7,11.0,18.3
UC1529013,-120.1137,35.5657,580.0,1974-12,63.30,1.0,7.1,13.2
UC1529013,-120.1137,35.5657,580.0,1975-01,1.50,1.1,8.1,15.0
UC1529013,-120.1137,35.5657,580.0,1975-02,67.77,3.1,8.4,13.8
UC1529013,-120.1137,35.5657,580.0,1975-03,48.85,3.3,9.2,15.2
UC1529013,-120.1137,35.5657,580.0,1975-04,19.85,3.0,10.3,17.6
UC1529013,-120.1137,35.5657,580.0,1975-05,0.00,8.5,17.8,27.0
UC1529013,-120.1137,35.5657,580.0,1975-06,0.00,11.8,21.7,31.6
UC1529013,-120.1137,35.5657,580.0,1975-07,0.00,13.8,24.1,34.5
UC1529013,-120.1137,35.5657,580.0,1975-08,0.00,13.4,23.6,33.8
UC1529013,-120.1137,35.5657,580.0,1975-09,0.00,14.0,23.5,33.0
UC1529013,-120.1137,35.5657,580.0,1975-10,18.18,8.1,16.4,24.7
UC1529013,-120.1137,35.5657,580.0,1975-11,4.76,2.3,10.3,18.3
UC1529013,-120.1137,35.5657,580.0,1975-12,3.47,0.6,8.5,16.4
UC1529013,-120.1137,35.5657,580.0,1976-01,0.00,-1.5,7.6,16.8
UC1529013,-120.1137,35.5657,580.0,1976-02,68.60,3.1,9.5,15.9
UC1529013,-120.1137,35.5657,580.0,1976-03,21.17,2.8,10.0,17.2
UC1529013,-120.1137,35.5657,580.0,1976-04,26.31,3.8,11.4,19.0
UC1529013,-120.1137,35.5657,580.0,1976-05,0.00,9.2,18.8,28.4
UC1529013,-120.1137,35.5657,580.0,1976-06,2.37,9.9,20.7,31.5
UC1529013,-120.1137,35.5657,580.0,1976-07,0.00,14.9,24.8,34.8
UC1529013,-120.1137,35.5657,580.0,1976-08,22.56,13.5,21.9,30.4
UC1529013,-120.1137,35.5657,580.0,1976-09,85.38,13.4,21.6,29.7
UC1529013,-120.1137,35.5657,580.0,1976-10,14.01,11.7,18.8,25.9
UC1529013,-120.1137,35.5657,580.0,1976-11,16.43,6.3,13.5,20.7
UC1529013,-120.1137,35.5657,580.0,1976-12,16.64,-1.6,7.9,17.3
UC1529013,-120.1137,35.5657,580.0,1977-01,38.57,1.7,7.0,12.2
UC1529013,-120.1137,35.5657,580.0,1977-02,0.53,2.3,10.2,18.0
UC1529013,-120.1137,35.5657,580.0,1977-03,28.15,0.9,8.7,16.5
UC1529013,-120.1137,35.5657,580.0,1977-04,0.00,4.7,14.6,24.5
UC1529013,-120.1137,35.5657,580.0,1977-05,50.31,6.2,13.8,21.4
UC1529013,-120.1137,35.5657,580.0,1977-06,0.00,12.7,22.9,33.0
UC1529013,-120.1137,35.5657,580.0,1977-07,0.00,13.6,24.5,35.5
UC1529013,-120.1137,35.5657,580.0,1977-08,0.00,16.2,25.4,34.7
UC1529013,-120.1137,35.5657,580.0,1977-09,0.00,11.8,21.3,30.7
UC1529013,-120.1137,35.5657,580.0,1977-10,1.24,10.4,18.8,27.2
UC1529013,-120.1137,35.5657,580.0,1977-11,6.75,3.8,11.9,19.9
UC1529013,-120.1137,35.5657,580.0,1977-12,91.87,5.3,11.1,16.9
UC1529013,-120.1137,35.5657,580.0,1978-01,103.24,4.8,9.8,14.9
UC1529013,-120.1137,35.5657,580.0,1978-02,153.06,4.8,9.6,14.4
