"specimen_number","longitude","latitude","elev_prism_m","clim_year","clim_month","ppt_mm","tmin","tave","tmax","clim_date"
"SD241782",-120.6667,36.5839,331,1954,3,59.83,3.1,10.2,17.3,195403
"SD241782",-120.6667,36.5839,331,1954,4,10.63,8,16.9,25.9,195404
"SD241782",-120.6667,36.5839,331,1954,5,4.34,9.4,19.7,29.9,195405
"SD241782",-120.6667,36.5839,331,1954,6,3.63,11.9,21.5,31.1,195406
"SD241782",-120.6667,36.5839,331,1954,7,0,15.8,26.8,37.8,195407
"SD241782",-120.6667,36.5839,331,1954,8,0,12.6,23.1,33.7,195408
"SD241782",-120.6667,36.5839,331,1954,9,0,10.7,21,31.3,195409
"SD241782",-120.6667,36.5839,331,1954,10,0,7.8,17,26.1,195410
"SD241782",-120.6667,36.5839,331,1954,11,20.23,4.8,11.9,18.9,195411
"SD241782",-120.6667,36.5839,331,1954,12,41.2,1.5,7.1,12.7,195412
"SD241782",-120.6667,36.5839,331,1955,1,66.8,-0.1,5.5,11.2,195501
"SD241782",-120.6667,36.5839,331,1955,2,35.4,1,8.4,15.8,195502
"SD241782",-120.6667,36.5839,331,1955,3,6.45,2.9,11.3,19.8,195503
"SD241782",-120.6667,36.5839,331,1955,4,25.53,3.5,12.2,20.8,195504
"SD241782",-120.6667,36.5839,331,1955,5,21.37,9.4,18.2,27.1,195505
"SD241782",-120.6667,36.5839,331,1955,6,0,11.4,21.3,31.2,195506
"SD241782",-120.6667,36.5839,331,1955,7,0,12.6,23.2,33.7,195507
"SD241782",-120.6667,36.5839,331,1955,8,0,14.5,25.7,37,195508
"SD241782",-120.6667,36.5839,331,1955,9,0,11.9,22.6,33.3,195509
"SD241782",-120.6667,36.5839,331,1955,10,0,9,18.4,27.9,195510
"SD241782",-120.6667,36.5839,331,1955,11,22.52,3.2,11.1,19,195511
"SD241782",-120.6667,36.5839,331,1955,12,161.31,4.5,9.8,15,195512
"SD241782",-120.6667,36.5839,331,1956,1,59.37,4,9.2,14.5,195601
"SD241782",-120.6667,36.5839,331,1956,2,20.01,-0.2,7.2,14.5,195602
"SD241782",-120.6667,36.5839,331,1956,3,0.25,2.8,11.6,20.4,195603
"SD241782",-120.6667,36.5839,331,1956,4,28.94,5.8,14.1,22.3,195604
"SD241782",-120.6667,36.5839,331,1956,5,18.19,9.1,18.2,27.3,195605
"SD241782",-120.6667,36.5839,331,1956,6,0,12.3,22.9,33.6,195606
"SD241782",-120.6667,36.5839,331,1956,7,0,14.2,25.3,36.3,195607
"SD241782",-120.6667,36.5839,331,1956,8,0,12.3,22.9,33.5,195608
"SD241782",-120.6667,36.5839,331,1956,9,2.35,12.4,22.5,32.7,195609
"SD241782",-120.6667,36.5839,331,1956,10,19.22,7.9,16.2,24.4,195610
"SD241782",-120.6667,36.5839,331,1956,11,0,2.5,12.1,21.7,195611
"SD241782",-120.6667,36.5839,331,1956,12,5.99,-0.1,8,16.1,195612
"SD241782",-120.6667,36.5839,331,1957,1,50.11,-0.6,5.9,12.3,195701
"SD241782",-120.6667,36.5839,331,1957,2,45.15,5.5,11.1,16.8,195702
"SD241782",-120.6667,36.5839,331,1957,3,25.81,5,12.2,19.4,195703
"SD241782",-120.6667,36.5839,331,1957,4,31.73,6.7,15.1,23.4,195704
"SD241782",-120.6667,36.5839,331,1957,5,19.37,9,17.4,25.7,195705
"SD241782",-120.6667,36.5839,331,1957,6,4.19,13.8,24.1,34.3,195706
"SD241782",-120.6667,36.5839,331,1957,7,0,14.7,25.8,36.9,195707
"SD241782",-120.6667,36.5839,331,1957,8,0,12.8,23.9,34.9,195708
"SD241782",-120.6667,36.5839,331,1957,9,1.78,12.4,22.1,31.8,195709
"SD241782",-120.6667,36.5839,331,1957,10,25.31,9.3,16.8,24.2,195710
"SD241782",-120.6667,36.5839,331,1957,11,12.78,3.2,10.7,18.2,195711
"SD241782",-120.6667,36.5839,331,1957,12,52.4,1.2,7.9,14.6,195712
"SD241782",-120.6667,36.5839,331,1958,1,52.47,0.9,8.1,15.4,195801
"SD241782",-120.6667,36.5839,331,1958,2,120.59,5.4,11.6,17.9,195802
"SD241782",-120.6667,36.5839,331,1958,3,123.13,3.3,9.4,15.5,195803
"SD241782",-120.6667,36.5839,331,1958,4,77.15,5.7,13.9,22.2,195804
"SD241782",-120.6667,36.5839,331,1958,5,11.61,10.3,19.6,29,195805
"SD241782",-120.6667,36.5839,331,1958,6,1.56,12.3,21.5,30.8,195806
"SD241782",-120.6667,36.5839,331,1958,7,0,14.3,25.1,36,195807
"SD241782",-120.6667,36.5839,331,1958,8,0,17.4,27.7,37.9,195808
"SD241782",-120.6667,36.5839,331,1958,9,14.48,12.8,22.8,32.8,195809
"SD241782",-120.6667,36.5839,331,1958,10,0,11.1,20.5,29.9,195810
"SD241782",-120.6667,36.5839,331,1958,11,5.18,3.8,12.5,21.2,195811
"SD241782",-120.6667,36.5839,331,1958,12,6.47,1.6,10.6,19.6,195812
"SD241782",-120.6667,36.5839,331,1959,1,36.73,3.2,9.8,16.4,195901
"SD241782",-120.6667,36.5839,331,1959,2,100.26,1.8,8.8,15.7,195902
"SD241782",-120.6667,36.5839,331,1959,3,2.66,4.4,13.3,22.2,195903
"SD241782",-120.6667,36.5839,331,1959,4,10.24,6.6,16.8,27,195904
"SD241782",-120.6667,36.5839,331,1959,5,0.2,7.8,17.3,26.8,195905
"SD241782",-120.6667,36.5839,331,1959,6,0,12.8,23.6,34.3,195906
"SD241782",-120.6667,36.5839,331,1959,7,0,15.5,26.9,38.3,195907
"SD241782",-120.6667,36.5839,331,1959,8,0,13.9,24.4,34.9,195908
"SD241782",-120.6667,36.5839,331,1959,9,11.14,11.8,21.2,30.5,195909
"SD241782",-120.6667,36.5839,331,1959,10,0,9.8,18.8,27.9,195910
"SD241782",-120.6667,36.5839,331,1959,11,0,1.9,12.4,23,195911
"SD241782",-120.6667,36.5839,331,1959,12,9.19,0.1,8.7,17.3,195912
"SD241782",-120.6667,36.5839,331,1960,1,34.77,0.4,7,13.6,196001
"SD241782",-120.6667,36.5839,331,1960,2,79,2.6,9,15.4,196002
"SD241782",-120.6667,36.5839,331,1960,3,17.66,5.6,13.2,20.7,196003
"SD241782",-120.6667,36.5839,331,1960,4,23.9,6.3,14.7,23.1,196004
"SD241782",-120.6667,36.5839,331,1960,5,0.43,8.4,17.8,27.3,196005
"SD241782",-120.6667,36.5839,331,1960,6,0,14.4,25.5,36.6,196006
"SD241782",-120.6667,36.5839,331,1960,7,0,16,26.9,37.9,196007
"SD241782",-120.6667,36.5839,331,1960,8,0,13.1,24.5,35.8,196008
"SD241782",-120.6667,36.5839,331,1960,9,0.38,12,22.9,33.9,196009
"SD241782",-120.6667,36.5839,331,1960,10,2.74,8,16.8,25.6,196010
"SD241782",-120.6667,36.5839,331,1960,11,61.79,4.2,10.7,17.1,196011
"SD241782",-120.6667,36.5839,331,1960,12,13.68,0.6,7.2,13.8,196012
"SD241782",-120.6667,36.5839,331,1961,1,37.75,-0.6,6.8,14.1,196101
"SD241782",-120.6667,36.5839,331,1961,2,18.26,3.7,10.5,17.3,196102
"SD241782",-120.6667,36.5839,331,1961,3,27.1,3.5,11,18.5,196103
"SD241782",-120.6667,36.5839,331,1961,4,9.97,5.8,15.2,24.6,196104
"SD241782",-120.6667,36.5839,331,1961,5,8.3,7.7,16.5,25.3,196105
"SD241782",-120.6667,36.5839,331,1961,6,3.16,14.3,24.8,35.4,196106
"SD241782",-120.6667,36.5839,331,1961,7,0,15.8,26.7,37.6,196107
"SD241782",-120.6667,36.5839,331,1961,8,0,16.2,26,35.7,196108
"SD241782",-120.6667,36.5839,331,1961,9,0,11.2,21.1,31.1,196109
"SD241782",-120.6667,36.5839,331,1961,10,0,9,17.8,26.6,196110
"SD241782",-120.6667,36.5839,331,1961,11,49.22,2.7,10.7,18.6,196111
"SD241782",-120.6667,36.5839,331,1961,12,35.76,1.6,7.2,12.8,196112
"SD241782",-120.6667,36.5839,331,1962,1,27.12,-1.1,5.7,12.5,196201
"SD241782",-120.6667,36.5839,331,1962,2,173.21,3.3,8.1,12.9,196202
"SD241782",-120.6667,36.5839,331,1962,3,25.75,2.8,9.4,16.1,196203
"SD241782",-120.6667,36.5839,331,1962,4,0.3,6.7,16.3,25.9,196204
"SD241782",-120.6667,36.5839,331,1962,5,1.21,7.7,16.5,25.2,196205
"SD241782",-120.6667,36.5839,331,1962,6,0,11.6,22.2,32.9,196206
"SD241782",-120.6667,36.5839,331,1962,7,0,13.2,24.5,35.9,196207
"SD241782",-120.6667,36.5839,331,1962,8,0,13.4,24.1,34.8,196208
"SD241782",-120.6667,36.5839,331,1962,9,0,11.5,21.9,32.4,196209
"SD241782",-120.6667,36.5839,331,1962,10,11.91,8.8,17,25.1,196210
"SD241782",-120.6667,36.5839,331,1962,11,2.35,4.6,12.7,20.8,196211
"SD241782",-120.6667,36.5839,331,1962,12,38.16,1.7,9.2,16.6,196212
"SD241782",-120.6667,36.5839,331,1963,1,13.48,-2.3,5.8,14,196301
"SD241782",-120.6667,36.5839,331,1963,2,93.25,6.8,13,19.2,196302
"SD241782",-120.6667,36.5839,331,1963,3,45.04,3,10.4,17.8,196303
"SD241782",-120.6667,36.5839,331,1963,4,49.86,4.9,11.9,18.8,196304
"SD241782",-120.6667,36.5839,331,1963,5,6.86,9.2,17.7,26.2,196305
"SD241782",-120.6667,36.5839,331,1963,6,4.39,11.1,21,31,196306
"SD241782",-120.6667,36.5839,331,1963,7,0,12.1,23.3,34.5,196307
"SD241782",-120.6667,36.5839,331,1963,8,0,13.3,23.8,34.2,196308
"SD241782",-120.6667,36.5839,331,1963,9,4.26,13.3,22.8,32.3,196309
"SD241782",-120.6667,36.5839,331,1963,10,31.45,9.8,17.4,25,196310
"SD241782",-120.6667,36.5839,331,1963,11,45.33,4.7,10.8,16.8,196311
"SD241782",-120.6667,36.5839,331,1963,12,4.73,0.5,5.8,11,196312
"SD241782",-120.6667,36.5839,331,1964,1,18.26,-0.2,6.6,13.5,196401
"SD241782",-120.6667,36.5839,331,1964,2,1.53,0.3,8.7,17,196402
"SD241782",-120.6667,36.5839,331,1964,3,28.89,2.3,10.2,18.1,196403
"SD241782",-120.6667,36.5839,331,1964,4,10.97,5.2,14,22.7,196404
"SD241782",-120.6667,36.5839,331,1964,5,1.32,7.3,16.4,25.4,196405
"SD241782",-120.6667,36.5839,331,1964,6,3.82,11.6,21.4,31.1,196406
"SD241782",-120.6667,36.5839,331,1964,7,0,14.1,25.1,36.1,196407
"SD241782",-120.6667,36.5839,331,1964,8,0,14.4,24.6,34.9,196408
"SD241782",-120.6667,36.5839,331,1964,9,3.55,10.1,20.5,30.9,196409
"SD241782",-120.6667,36.5839,331,1964,10,29.13,10.7,19.6,28.5,196410
"SD241782",-120.6667,36.5839,331,1964,11,37.64,4,9.9,15.9,196411
"SD241782",-120.6667,36.5839,331,1964,12,63.8,4.2,9.4,14.7,196412
"SD241782",-120.6667,36.5839,331,1965,1,15.61,2.5,8.1,13.6,196501
"SD241782",-120.6667,36.5839,331,1965,2,13.19,2.4,9.6,16.7,196502
"SD241782",-120.6667,36.5839,331,1965,3,25.12,4.3,11.4,18.4,196503
"SD241782",-120.6667,36.5839,331,1965,4,54.08,7.2,14,20.8,196504
"SD241782",-120.6667,36.5839,331,1965,5,0,8.5,18.1,27.6,196505
"SD241782",-120.6667,36.5839,331,1965,6,0,10.5,20.2,29.9,196506
"SD241782",-120.6667,36.5839,331,1965,7,0,13.3,24.1,34.9,196507
"SD241782",-120.6667,36.5839,331,1965,8,2.57,14.5,24.7,34.8,196508
"SD241782",-120.6667,36.5839,331,1965,9,0,9.6,19.5,29.3,196509
"SD241782",-120.6667,36.5839,331,1965,10,0.79,9.7,19.2,28.6,196510
"SD241782",-120.6667,36.5839,331,1965,11,108.51,6.4,12.3,18.2,196511
"SD241782",-120.6667,36.5839,331,1965,12,50.8,0.5,5.9,11.3,196512
"UC1529013",-120.1137,35.5657,580,1951,1,44.2,2,7.5,13.1,195101
"UC1529013",-120.1137,35.5657,580,1951,2,20.87,2.1,8.6,15,195102
"UC1529013",-120.1137,35.5657,580,1951,3,6.87,2.5,10.3,18,195103
"UC1529013",-120.1137,35.5657,580,1951,4,19.34,6.2,14.1,21.9,195104
"UC1529013",-120.1137,35.5657,580,1951,5,1.23,8.5,17.7,26.9,195105
"UC1529013",-120.1137,35.5657,580,1951,6,0,11.7,21.7,31.8,195106
"UC1529013",-120.1137,35.5657,580,1951,7,0,14.3,25.1,35.9,195107
"UC1529013",-120.1137,35.5657,580,1951,8,0,14.6,25,35.5,195108
"UC1529013",-120.1137,35.5657,580,1951,9,0,12.6,23,33.4,195109
"UC1529013",-120.1137,35.5657,580,1951,10,12.32,9.1,17.5,25.9,195110
"UC1529013",-120.1137,35.5657,580,1951,11,33.68,4.9,11.9,18.9,195111
"UC1529013",-120.1137,35.5657,580,1951,12,67.18,1,6.8,12.6,195112
"UC1529013",-120.1137,35.5657,580,1952,1,94.36,1.3,6.3,11.3,195201
"UC1529013",-120.1137,35.5657,580,1952,2,10.64,3.3,9.3,15.2,195202
"UC1529013",-120.1137,35.5657,580,1952,3,102.43,3.1,8.3,13.5,195203
"UC1529013",-120.1137,35.5657,580,1952,4,24.47,6.5,13.8,21.1,195204
"UC1529013",-120.1137,35.5657,580,1952,5,0,9.1,18.7,28.3,195205
"UC1529013",-120.1137,35.5657,580,1952,6,0,8.9,18.5,28.1,195206
"UC1529013",-120.1137,35.5657,580,1952,7,0,16.1,26.3,36.5,195207
"UC1529013",-120.1137,35.5657,580,1952,8,0,15,25.4,35.8,195208
"UC1529013",-120.1137,35.5657,580,1952,9,0.55,12.4,22.8,33.1,195209
"UC1529013",-120.1137,35.5657,580,1952,10,0,11.8,20.2,28.6,195210
"UC1529013",-120.1137,35.5657,580,1952,11,46.63,3.3,10.5,17.6,195211
"UC1529013",-120.1137,35.5657,580,1952,12,94.49,2.9,8.5,14,195212
"UC1529013",-120.1137,35.5657,580,1953,1,21.74,3.8,9.7,15.7,195301
"UC1529013",-120.1137,35.5657,580,1953,2,0,1,8.7,16.5,195302
"UC1529013",-120.1137,35.5657,580,1953,3,15.2,2.5,10.2,18,195303
"UC1529013",-120.1137,35.5657,580,1953,4,25.31,4.6,12.8,21,195304
"UC1529013",-120.1137,35.5657,580,1953,5,4.97,4.7,13.7,22.8,195305
"UC1529013",-120.1137,35.5657,580,1953,6,1.49,8.9,18.7,28.4,195306
"UC1529013",-120.1137,35.5657,580,1953,7,0,16.4,27,37.5,195307
"UC1529013",-120.1137,35.5657,580,1953,8,0,13.7,23.4,33.2,195308
"UC1529013",-120.1137,35.5657,580,1953,9,0,13.5,23,32.5,195309
"UC1529013",-120.1137,35.5657,580,1953,10,0,7.9,17,26,195310
"UC1529013",-120.1137,35.5657,580,1953,11,47.03,5.7,12.2,18.6,195311
"UC1529013",-120.1137,35.5657,580,1953,12,2.53,0.4,8,15.6,195312
"UC1529013",-120.1137,35.5657,580,1954,1,69.01,1.2,7.5,13.8,195401
"UC1529013",-120.1137,35.5657,580,1954,2,42.77,2.5,9.9,17.3,195402
"UC1529013",-120.1137,35.5657,580,1954,3,73.01,2.8,8.9,15.1,195403
"UC1529013",-120.1137,35.5657,580,1954,4,10.17,7.8,15.7,23.6,195404
"UC1529013",-120.1137,35.5657,580,1954,5,0.66,8.9,18.6,28.4,195405
"UC1529013",-120.1137,35.5657,580,1954,6,0,10.3,20.3,30.3,195406
"UC1529013",-120.1137,35.5657,580,1954,7,0,16.2,26.7,37.1,195407
"UC1529013",-120.1137,35.5657,580,1954,8,0,12.9,23,33.2,195408
"UC1529013",-120.1137,35.5657,580,1954,9,0,10.7,20.9,31.2,195409
"UC1529013",-120.1137,35.5657,580,1954,10,0,8.5,17.4,26.3,195410
"UC1529013",-120.1137,35.5657,580,1954,11,16.61,4.8,11.8,18.8,195411
"UC1529013",-120.1137,35.5657,580,1954,12,44.26,1,7.4,13.7,195412
"UC1529013",-120.1137,35.5657,580,1955,1,91.51,-0.5,5.1,10.7,195501
"UC1529013",-120.1137,35.5657,580,1955,2,43.73,0.5,7.4,14.3,195502
"UC1529013",-120.1137,35.5657,580,1955,3,6.98,2.4,10,17.6,195503
"UC1529013",-120.1137,35.5657,580,1955,4,33.01,2.5,10.8,19.1,195504
"UC1529013",-120.1137,35.5657,580,1955,5,31.76,8.4,16.9,25.3,195505
"UC1529013",-120.1137,35.5657,580,1955,6,0,10.3,20.4,30.4,195506
"UC1529013",-120.1137,35.5657,580,1955,7,0,12.6,23.2,33.8,195507
"UC1529013",-120.1137,35.5657,580,1955,8,0.75,16.1,26.8,37.5,195508
"UC1529013",-120.1137,35.5657,580,1955,9,0,12.1,22.6,33.2,195509
"UC1529013",-120.1137,35.5657,580,1955,10,0,10.3,18.8,27.3,195510
"UC1529013",-120.1137,35.5657,580,1955,11,29.92,2.8,10.5,18.2,195511
"UC1529013",-120.1137,35.5657,580,1955,12,131.26,3.6,9,14.4,195512
"UC1529013",-120.1137,35.5657,580,1956,1,72.48,3,8.4,13.8,195601
"UC1529013",-120.1137,35.5657,580,1956,2,13.62,-0.7,6.1,12.8,195602
"UC1529013",-120.1137,35.5657,580,1956,3,0,2,10.4,18.9,195603
"UC1529013",-120.1137,35.5657,580,1956,4,27.23,5,12.7,20.4,195604
"UC1529013",-120.1137,35.5657,580,1956,5,20.95,8.4,17,25.7,195605
"UC1529013",-120.1137,35.5657,580,1956,6,0,11.9,22,32.2,195606
"UC1529013",-120.1137,35.5657,580,1956,7,0,15.6,25.6,35.7,195607
"UC1529013",-120.1137,35.5657,580,1956,8,0,13.6,23.8,34,195608
"UC1529013",-120.1137,35.5657,580,1956,9,0,12.8,22.9,32.9,195609
"UC1529013",-120.1137,35.5657,580,1956,10,17.46,9.2,16.6,23.9,195610
"UC1529013",-120.1137,35.5657,580,1956,11,0,2.7,11.8,20.9,195611
"UC1529013",-120.1137,35.5657,580,1956,12,3.58,0.3,8.2,16.1,195612
"UC1529013",-120.1137,35.5657,580,1957,1,70.17,-0.1,6,12.2,195701
"UC1529013",-120.1137,35.5657,580,1957,2,37.91,5.8,10.6,15.4,195702
"UC1529013",-120.1137,35.5657,580,1957,3,22.06,4.8,11.3,17.8,195703
"UC1529013",-120.1137,35.5657,580,1957,4,29.79,6.2,13.9,21.6,195704
"UC1529013",-120.1137,35.5657,580,1957,5,20.65,8.3,16.3,24.3,195705
"UC1529013",-120.1137,35.5657,580,1957,6,5.23,13.4,23.6,33.8,195706
"UC1529013",-120.1137,35.5657,580,1957,7,0,15.2,25.9,36.6,195707
"UC1529013",-120.1137,35.5657,580,1957,8,0,13.7,24.4,35,195708
"UC1529013",-120.1137,35.5657,580,1957,9,0,12.6,22.2,31.9,195709
"UC1529013",-120.1137,35.5657,580,1957,10,30.64,10.2,16.9,23.7,195710
"UC1529013",-120.1137,35.5657,580,1957,11,13.87,3.3,10.3,17.4,195711
"UC1529013",-120.1137,35.5657,580,1957,12,53.82,2.2,8.2,14.2,195712
"UC1529013",-120.1137,35.5657,580,1958,1,52.25,1.6,8.3,15.1,195801
"UC1529013",-120.1137,35.5657,580,1958,2,116.45,5.4,10.9,16.5,195802
"UC1529013",-120.1137,35.5657,580,1958,3,132.27,3.2,8.6,14.1,195803
"UC1529013",-120.1137,35.5657,580,1958,4,107.13,5.4,13,20.5,195804
"UC1529013",-120.1137,35.5657,580,1958,5,13.1,9.6,18.5,27.5,195805
"UC1529013",-120.1137,35.5657,580,1958,6,0,10.7,20.3,30,195806
"UC1529013",-120.1137,35.5657,580,1958,7,0,14.8,25,35.1,195807
"UC1529013",-120.1137,35.5657,580,1958,8,0.34,18.2,27.7,37.3,195808
"UC1529013",-120.1137,35.5657,580,1958,9,27.48,13,22.7,32.5,195809
"UC1529013",-120.1137,35.5657,580,1958,10,0,12.6,20.9,29.3,195810
"UC1529013",-120.1137,35.5657,580,1958,11,6.36,4.7,12.4,20,195811
"UC1529013",-120.1137,35.5657,580,1958,12,5.71,1.9,10.8,19.7,195812
"UC1529013",-120.1137,35.5657,580,1959,1,41.02,3.9,9.9,15.8,195901
"UC1529013",-120.1137,35.5657,580,1959,2,84.72,2.2,8.1,13.9,195902
"UC1529013",-120.1137,35.5657,580,1959,3,0.02,5.2,13,20.8,195903
"UC1529013",-120.1137,35.5657,580,1959,4,9.23,6.9,16,25,195904
"UC1529013",-120.1137,35.5657,580,1959,5,1.29,7.3,16.3,25.3,195905
"UC1529013",-120.1137,35.5657,580,1959,6,0,12.6,23,33.5,195906
"UC1529013",-120.1137,35.5657,580,1959,7,0,17,27.5,38.1,195907
"UC1529013",-120.1137,35.5657,580,1959,8,0,14.9,25,35,195908
"UC1529013",-120.1137,35.5657,580,1959,9,17.85,12,21.4,30.8,195909
"UC1529013",-120.1137,35.5657,580,1959,10,0,11.5,19.6,27.7,195910
"UC1529013",-120.1137,35.5657,580,1959,11,0,2.7,12.5,22.4,195911
"UC1529013",-120.1137,35.5657,580,1959,12,9.59,1.2,9.2,17.3,195912
"UC1529013",-120.1137,35.5657,580,1960,1,57.43,0.9,7.1,13.3,196001
"UC1529013",-120.1137,35.5657,580,1960,2,64.08,2.6,8.5,14.4,196002
"UC1529013",-120.1137,35.5657,580,1960,3,17.8,5.7,12.6,19.5,196003
"UC1529013",-120.1137,35.5657,580,1960,4,30.48,5.6,13.7,21.8,196004
"UC1529013",-120.1137,35.5657,580,1960,5,0.77,7.9,16.9,26,196005
"UC1529013",-120.1137,35.5657,580,1960,6,0,14.4,25,35.6,196006
"UC1529013",-120.1137,35.5657,580,1960,7,0,17,27.3,37.5,196007
"UC1529013",-120.1137,35.5657,580,1960,8,0,14.7,25.3,35.9,196008
"UC1529013",-120.1137,35.5657,580,1960,9,0,12.6,23.1,33.7,196009
"UC1529013",-120.1137,35.5657,580,1960,10,9.34,9.6,17.5,25.4,196010
"UC1529013",-120.1137,35.5657,580,1960,11,79.94,4,10.1,16.3,196011
"UC1529013",-120.1137,35.5657,580,1960,12,15.91,1.2,7.6,14,196012
"UC1529013",-120.1137,35.5657,580,1961,1,29.47,-0.3,7.6,15.5,196101
"UC1529013",-120.1137,35.5657,580,1961,2,11.75,3.5,10.1,16.7,196102
"UC1529013",-120.1137,35.5657,580,1961,3,18.42,3.4,10.3,17.1,196103
"UC1529013",-120.1137,35.5657,580,1961,4,4.83,5.7,14.5,23.3,196104
"UC1529013",-120.1137,35.5657,580,1961,5,8.73,6.8,15.5,24.2,196105
"UC1529013",-120.1137,35.5657,580,1961,6,0,14,24.2,34.4,196106
"UC1529013",-120.1137,35.5657,580,1961,7,0,16.6,27,37.3,196107
"UC1529013",-120.1137,35.5657,580,1961,8,0,16.9,26.4,35.8,196108
"UC1529013",-120.1137,35.5657,580,1961,9,0,10.9,20.9,30.9,196109
"UC1529013",-120.1137,35.5657,580,1961,10,0,10,18.2,26.5,196110
"UC1529013",-120.1137,35.5657,580,1961,11,39,2.9,10.4,18,196111
"UC1529013",-120.1137,35.5657,580,1961,12,42.61,1.4,7,12.7,196112
"UC1529013",-120.1137,35.5657,580,1962,1,41.29,-0.2,6.7,13.6,196201
"UC1529013",-120.1137,35.5657,580,1962,2,166.45,3.1,8,12.9,196202
"UC1529013",-120.1137,35.5657,580,1962,3,36.87,2.3,8.5,14.8,196203
"UC1529013",-120.1137,35.5657,580,1962,4,0,6.7,15.6,24.5,196204
"UC1529013",-120.1137,35.5657,580,1962,5,2.32,6.4,15.2,24.1,196205
"UC1529013",-120.1137,35.5657,580,1962,6,0,11,21.5,32,196206
"UC1529013",-120.1137,35.5657,580,1962,7,0,13.9,24.8,35.7,196207
"UC1529013",-120.1137,35.5657,580,1962,8,0,14,24.5,35,196208
"UC1529013",-120.1137,35.5657,580,1962,9,0,11.4,21.7,32,196209
"UC1529013",-120.1137,35.5657,580,1962,10,14.89,10.1,17.5,24.9,196210
"UC1529013",-120.1137,35.5657,580,1962,11,0,4.4,12.2,20.1,196211
"UC1529013",-120.1137,35.5657,580,1962,12,32.28,2.2,9.7,17.1,196212
"UC1529013",-120.1137,35.5657,580,1963,1,34.61,-1.5,6.2,13.8,196301
"UC1529013",-120.1137,35.5657,580,1963,2,97.2,6.1,12.7,19.3,196302
"UC1529013",-120.1137,35.5657,580,1963,3,57.21,2,9.5,17,196303
"UC1529013",-120.1137,35.5657,580,1963,4,58.38,3,10.3,17.5,196304
"UC1529013",-120.1137,35.5657,580,1963,5,10.36,8,16.4,24.9,196305
