specimen_number	taxon_name	collector	coll_number_prefix	coll_number	coll_number_suffix	collection_date	late_collection_date	verbatim_date	county	elevation	locality	latitude	longitude	datum	source	error_distance	units	citation
CAS-BOT-BC38188	Caulanthus anceps	Carl B. Wolf		6451		1935-04-17	1935-04-17	17-Apr-35	Kern	487 m	"Diablo Range. Cottonwood Canyon, mouth of Stoker Canyon."	35.773625	-120.176297	Geolocate (copied from DS340829)	WGS84	1	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38217	Caulanthus anceps	Ernest C. Twisselmann		6730		1962-03-28	1962-03-28	28-Mar-62	San Luis Obispo	426 m	"Cottonwood Pass, about 3.3 miles east of Cholame."	35.78	-120.209	NAD27	"Baldwin et al. (2017), Master spatial file"	1	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38237	Caulanthus anceps	Ernest C. Twisselmann		6730		1962-03-28	1962-03-28	"March 28, 1962."	San Luis Obispo	426 m	"Cottonwood Pass, about 3.3 miles east of Cholame."	35.78	-120.209	NAD27	"Baldwin et al. (2017), Master spatial file"	1	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
JEPS93494	Caulanthus anceps	Clifton F. Smith		12572		1994-06-06	1994-06-06	Jun 6 1994	Ventura		along first grade on Mutau Rd. 1.1 mi. s. of turnoff to Lockwood Valley	34.703	-119.122	NAD83	Terrain Nav. v. 8.7 (copied from SBBG105135)	1	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UCSB16122	Caulanthus anceps			2410		1962-04-19	1962-04-19	1962-04-19	Ventura	1432 m	"Head of the Ozena Valley, 9.0 miles east of U.S. Highway 399 on Lockwood Valley Road"	34.727265	-119.222423	WGS84	Geolocate (copied from DS489030)	1	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UCSB2234	Caulanthus anceps	John Haller		1665		1960-05-23	1960-05-23	1960-05-23	Ventura	1676 m	Mutau Road (to Grade Valley) 0.5 miles south of Junction with Frazier Park - Lockwood Valley Road at a point 11 miles west of Mt. Pinos Road	34.711037	-119.117755	WGS84	Geolocate (copied from UCSB6619)	1	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC56048	Caulanthus anceps	J. H. Barber	A	7		1901-03-24	1901-03-24	Mar 24 1901	San Luis Obispo		Estrella Plains	35.705525	-120.610167	WGS84	GeoLocate (copied from GH365362)	1.597	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC764857	Caulanthus anceps	R. F. Hoover		4816		1941-03-24	1941-03-24	Mar 24 1941	Kings		Tar Canyon Reef Ridge	35.929672	-120.166275	not recorded	Terrain Navigator 5.03 USGS 1:24000	2.009	miles	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38176	Caulanthus anceps	E. R. Blakley		3458		1960-05-20	1960-05-20	20-May-60	Santa Barbara	1554 m	Sierra Madre Mountains. Santa Barbara Potrero.	34.774	-119.642	Terrain Nav. v. 8.7 (copied from SBBG12242)	NAD83	2.1	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
JEPS30054	Caulanthus anceps	E. R. Blakley		3458		1960-05-20	1960-05-20	May 20 1960	Santa Barbara	1554 m	Santa Barbara Potrero Sierra Nevada Mtns.	34.774	-119.642	NAD83	Terrain Nav. v. 8.7 (copied from SBBG12242)	2.1	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA151466	Caulanthus anceps	E. R. Blakley		3458		1960-05-20	1960-05-20	1960-05-20	Santa Barbara	1555m	Santa Barbara Potrero	34.774	-119.642	NAD83	Terrain Nav. v. 8.7 (copied from SBBG12242)	2.1	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA166292	Caulanthus anceps	M. A. Piehl		62110		1962-05-10	1962-05-10	1962-05-10	Santa Barbara	1585m	"Santa Barbara Potrero, Sierra Madre Mountains."	34.774	-119.642	NAD83	Terrain Nav. v. 8.7 (copied from SBBG16905)	2.1	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC764844	Caulanthus anceps	Robert F. Hoover		4276		1940-03-23	1940-03-23	Mar 23 1940	Kings		foothills w Avenal (near Tar Canyon)	35.916897	-120.13793	not recorded	Terrain Navigator 5.03 USGS 1:24000	2.209	miles	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38212	Caulanthus anceps	David D. Keck; J. Clausen		3139		1935-04-10	1935-04-10	10-Apr-35	San Luis Obispo	609 m	"East side of Soda Lake, Carrizo Plains."	35.230597	-119.855828	GeoLocate (copied from GH424655)	WGS84	2.235	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38227	Caulanthus anceps	David D. Keck; J. Clausen		3139		1935-04-10	1935-04-10	10-Apr-35	San Luis Obispo	609 m	"East side of Soda Lake, Carrizo Plains."	35.230597	-119.855828	GeoLocate (copied from GH424655)	WGS84	2.235	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38200	Caulanthus anceps	Ira L. Wiggins; Reed Clark Rollins		36		1941-04-19	1941-04-19	19-Apr-41	San Benito		2.6 miles north of Idria.	36.455177	-120.67154	NAD27	"Baldwin et al. (2017), Master spatial file"	2.246	miles	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC676785	Caulanthus anceps	Ira L. Wiggins and Reed C. Rollins		36		1941-04-19	1941-04-19	Apr 19 1941	San Benito		2.6 mi n Idria	36.455177	-120.67154	not recorded	Terrain Navigator 5.03 1:24000	2.246	miles	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38209	Caulanthus anceps	Alice Eastwood; John Thomas Howell		4121		1937-04-29	1937-04-29	"Apr. 29, 1937."	San Luis Obispo		Carrizo Plain near Soda Lake.	35.176287	-119.827316	GeoLocate (copied from GH414624)	WGS84	2.437	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38231	Caulanthus anceps	R. F. Hoover		8417		1958-03-19	1958-03-19	19-Mar-58	San Luis Obispo		"South end of Soda Lake, Carrizo Plain."	35.2104	-119.8599	WGS84	"Baldwin et al. (2017), Master spatial file"	3	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38233	Caulanthus anceps	R. F. Hoover		8417		1958-03-19	1958-03-19	19-Mar-58	San Luis Obispo		"South end of Soda Lake, Carizo Plain."	35.2104	-119.8599	WGS84	"Baldwin et al. (2017), Master spatial file"	3	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
OBI14941	Caulanthus anceps	Robert F. Hoover		8417		1958-03-19	1958-03-19	19-Mar-58	San Luis Obispo		"S end of Soda Lake, Carrizo plain"	35.2104	-119.8599	WGS84	"Baldwin et al. (2017), Master spatial file"	3	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
POM143651	Caulanthus anceps	J. H. Barber	s.n.			1899-04-09	1899-04-09	1899-04-09	San Luis Obispo		Paso Robles	35.626637	-120.691004	WGS84	GeoLocate (copied from UC57501)	3.18	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
POM230543	Caulanthus anceps	"Alice Eastwood, J. T. Howell"	s.n.			1937-05-02	1937-05-02	1937-05-02	San Luis Obispo		Paso Robles	35.626637	-120.691004	WGS84	GeoLocate (copied from UC57501)	3.18	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38178	Caulanthus anceps	Ernest C. Twisselmann		1015		1954-04-09	1954-04-09	"April 9, 1954."	Kern	792 m	"Temblor Range and the Western San Joaquin Valley. Summit of Firebreak Grade, 8 miles southwest of Blackwell's Corner."	35.511151	-119.968856	Geolocate	WGS84	3.2	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38179	Caulanthus anceps	Ernest C. Twisselmann		1015		1954-04-09	1954-04-09	"April 9, 1954."	Kern	792 m	"Temblor Range and the Western San Joaquin Valley. Summit of Firebreak Grade, 8 miles southwest of Blackwell's Corner."	35.511151	-119.968856	Geolocate (copied from CAS390841)	WGS84	3.2	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38180	Caulanthus anceps	Ernest C. Twisselmann		6743		1962-04-01	1962-04-01	01-Apr-62	Kern	822 m	Temblor Range and the Western San Joaquin Valley. Summit of Firebreak Grade.	35.511151	-119.968856	Geolocate (copied from CAS390841)	WGS84	3.2	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38186	Caulanthus anceps	Philip A. Munz; John Thomas Howell		13590		1935-04-01	1935-04-01	01-Apr-35	Kern		13 miles southwest of Maricopa.	34.937456	-119.500179	Geolocate	WGS84	3.2	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
POM213019	Caulanthus anceps	P. A. Munz		13590		1935-04-01	1935-04-01	1935-04-01	Kern		13 miles SW of Maricopa	34.937456	-119.500179	WGS84	Geolocate (copied from DS241238)	3.2	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
SBBG15026	Caulanthus anceps	E. C. Twisselmann		6743		1962-04-01	1962-04-01	01-Apr-62	Kern	822 m	summit of Firebreak Grade	35.511151	-119.968856	WGS84	Geolocate (copied from CAS390841)	3.2	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC569149	Caulanthus anceps	P. A. Munz		13590		1935-04-01	1935-04-01	Apr 1 1935	Kern		13 mi sw Maricopa	34.937456	-119.500179	WGS84	Geolocate (copied from DS241238)	3.2	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38175	Caulanthus anceps	Alice Eastwood; John Thomas Howell		2080		1935-03-26	1935-03-26	"Mar. 26, 1935."	Fresno		"Oil Canyon, west Fresno County."	36.2598	-120.3681	WGS84	"Baldwin et al. (2017), Master spatial file"	3.548	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
OBI30155	Caulanthus anceps	Robert J. Rodin		6833		1962-04-01	1962-04-01	01-Apr-62	San Luis Obispo		About 4 mi E of Cholame	35.724109	-120.225261	WGS84	Google Earth (copied from OBI30154)	3.565	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
JEPS54054	Caulanthus anceps	J. G. Lemmon and wife		4572		1887-06-01	1887-06-30	June 1887	Monterey		near Dry Lake; Cholame	35.76011	-120.29938	WGS84	GoogleMaps via BerkeleyMapper (copied from UC366993)	4	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC575332	Caulanthus anceps	David D. Keck and J. Clausen		3082		1935-04-09	1935-04-09	Apr 9 1935	San Luis Obispo	1500 m	Cholame	35.7601	-120.2994	WGS84	GoogleMaps via BerkeleyMapper (copied from UC366993)	4	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC764856	Caulanthus anceps	R. F. Hoover		4809		1941-03-24	1941-03-24	Mar 24 1941	Kings		foothills sw Avenal (Tar Canyon road)	35.948605	-120.15575	not recorded	Terrain Navigator 5.03 USGS 1:24000	4.009	miles	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38183	Caulanthus anceps	Ernest C. Twisselmann		11025		1965-06-18	1965-06-18	"June 18, 1965."	Kern	1127 m	San Emigdio Range and the Mount Pinos Region. Pleito Ridge.	34.96342	-119.109285	Geolocate (copied from CAS500427)	WGS84	4.3	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38184	Caulanthus anceps	Ernest C. Twisselmann		11025		1965-06-18	1965-06-18	"June 18, 1965."	Kern	1127 m	San Emigdio Range and the Mount Pinos Region. Pleito Ridge.	34.96342	-119.109285	Geolocate (copied from CAS500427)	WGS84	4.3	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
POM369308	Caulanthus anceps	L. S. Rose	s.n.			1937-04-08	1937-04-08	1937-04-08	San Luis Obispo	457m	Cottonwood Pass. 6 miles E of Cholame.	35.780242	-120.207089	WGS84	GeoLocate (copied from CAS391441)	4.816	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
JEPS54052	Caulanthus anceps	W. L. Jepson		16219		1932-04-04	1932-04-04	Apr 4 1932	San Luis Obispo	640 m	opposite Elkhorn Scarp; Carrizo Plain	35.139997	-119.744843	WGS84	GeoLocate (copied from JEPS32893)	4.842	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38185	Caulanthus anceps	Alice Eastwood; John Thomas Howell		4064		1937-04-28	1937-04-28	"Apr. 28, 1937."	Kern		Cuayma Valley. Southwest Kern County.	34.938964	-119.469401	Geolocate (copied from CAS243356)	WGS84	6	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38177	Caulanthus anceps	Robert F. Hoover		6059		1946-03-30	1946-03-30	30-Mar-46	Fresno		"Near Waltham School, Waltham Creek."	36.0996	-120.41323	NAD27	"Baldwin et al. (2017), Master spatial file"	6.008	miles	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
JEPS54053	Caulanthus anceps	W. L. Jepson		16160		1932-04-02	1932-04-02	Apr 2 1932	Fresno	441 m	"Upper Waltham Creek, w Fresno Co. Upper Waltham Creek"	36.0996	-120.41323	not recorded	Terrain Navigator v.5.03 1:25000	6.008	miles	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC765594	Caulanthus anceps	R. F. Hoover		6059		1946-03-30	1946-03-30	Mar 30 1946	Fresno		near Waltham School; Waltham Creek	36.0996	-120.41323	not recorded	Terrain Navigator v.5.03 1:25000	6.008	miles	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA176428	Caulanthus anceps	I. L. Wiggins		5819		1932-04-02	1932-04-02	1932-04-02	San Luis Obispo		Bitterwater Valley between Cholame and Annette	35.687967	-120.235799	WGS84	Google Earth (copied from CAS272969)	6.701	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38255	Caulanthus anceps	R. F. Hoover		7787		1950-04-02	1950-04-02	02-Apr-50	San Luis Obispo		"West branch of Fernandez Creek, just above La Panza. Creston road."	35.5451	-120.3927	WGS84	"Baldwin et al. (2017), Master spatial file"	9.545	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38204	Caulanthus anceps	Alice Eastwood; John Thomas Howell		2490		1936-05-11	1936-05-11	"May 11, 1936."	San Benito		Near Bitterwater.	36.3809	-121.0014	WGS84	"Baldwin et al. (2017), Master spatial file"	9.684	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38189	Caulanthus anceps	Alice Eastwood; John Thomas Howell		5816		1938-06-12	1938-06-12	"June 12, 1938."	Monterey		Mustang Grade.	36.2357	-120.8056	WGS84	"Baldwin et al. (2017), Master spatial file"	9.995	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38210	Caulanthus anceps	Alice Eastwood; John Thomas Howell		5816		1938-06-12	1938-06-12	12-Jun-38	Monterey		Mustang Grade.	36.2357	-120.8056	WGS84	"Baldwin et al. (2017), Master spatial file"	9.995	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA14188	Caulanthus anceps	Roxana S. Ferris	s.n.			1935-03-23	1935-03-23	1935-03-23	Stanislaus	76m	"Puerto Canyon, Hamilton Range"	37.43752	-121.33335	WGS84	GoogleMaps via BerkeleyMapper (copied from CAS437414)	12	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC455735	Caulanthus anceps	I. J. Condit				1910-03-31	1910-03-31	Mar 31 1910	San Luis Obispo		Carisa Plains	35.144588	-119.740544	WGS84	GeoLocate (copied from UCSC324)	16.993	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA212265	Caulanthus anceps	Robert F. Hoover		10476		1967-04-16	1967-04-16	1967-04-16	San Luis Obispo		Canyon in Temblor Range near north end of Elkhorn Plain	35.1496	-119.65085	WGS84	GeoLocate	50	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC2026995	Caulanthus anceps	Greg Wilvert		26		2005-03-24	2005-03-24	24-Mar-05	San Luis Obispo	919 m	Southeast Half of the Caliente Range. Approx. 2km N of Wells Canyon	35.031667	-119.658056	not recorded	Collector's GPS	50	meters	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
SBBG116541	Caulanthus anceps	D. H. Wilken with E. Painter		16052		2003-04-24	2003-04-24	24-Apr-03	Ventura	1030m	"Ballinger Cyn, ca. 1.5 linear mi E of Ballinger Cmpgrd"	34.88193	-119.4278		Label (GPS)	300	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38181	Caulanthus anceps	Ernest C. Twisselmann		10601		1965-04-26	1965-04-26	"April 26, 1965."	Kern	502 m	Sierra Nevada. The Greenhorn Range. Adobe Knoll at the head of Adobe Canyon.	35.565825	-118.851804	Google Earth (copied from GH369491)	WGS84	500	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38182	Caulanthus anceps	Ernest C. Twisselmann		10601		1965-04-26	1965-04-26	"April 26, 1965."	Kern	502 m	Sierra Nevada. The Greenhorn Range. Adobe Knoll at the head of Adobe Canyon.	35.565825	-118.851804	Google Earth (copied from GH369491)	WGS84	500	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA116506	Caulanthus anceps	E. C. Twisselmann		929		1954-03-26	1954-03-26	1954-03-26	Kern	366m	"Annete Road: 1/2 miles W of U.S. 466, Antelope Valley"	35.692418	-120.143158	WGS84	Google Earth (copied from CAS590224)	500	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA223663	Caulanthus anceps	J. T. Howell	s.n.			1956-03-25	1956-03-25	1956-03-25	Monterey		7 miles from Greenfield on Arroyo Seco Road	36.271163	-121.340627	WGS84	Geolocate (copied from CAS504082)	500	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38208	Caulanthus anceps	Alice Eastwood; John Thomas Howell		2035		1935-03-25	1935-03-25	"Mar. 25, 1935"	San Luis Obispo		West side of Cottonwood Pass.	35.778118	-120.226229	GeoLocate (copied from GH424656)	WGS84	818	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38228	Caulanthus anceps	R. F. Hoover		7439		1948-04-12	1948-04-12	12-Apr-48	San Luis Obispo		Cottonwood Pass (foothills on west side).	35.778118	-120.226229	GeoLocate (copied from GH424656)	WGS84	818	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38229	Caulanthus anceps	R. F. Hoover		7579		1949-04-02	1949-04-02	02-Apr-49	San Luis Obispo		West side of Cottonwood Pass.	35.7781	-120.2262	WGS84	"Baldwin et al. (2017), Master spatial file"	818	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38232	Caulanthus anceps	R. F. Hoover		7439		1948-04-12	1948-04-12	12-Apr-48	San Luis Obispo		Cottonwood Pass (foothills on west side).	35.778118	-120.226229	GeoLocate (copied from GH424656)	WGS84	818	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38251	Caulanthus anceps	R. F. Hoover		7579		1949-04-02	1949-04-02	02-Apr-49	San Luis Obispo		West side of Cottonwood Pass.	35.778118	-120.226229	GeoLocate (copied from GH424656)	WGS84	818	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
OBI14937	Caulanthus anceps	Robert F. Hoover		7579		1949-04-02	1949-04-02	02-Apr-49	San Luis Obispo		W side of Cottonwood Pass	35.7781	-120.2262	WGS84	"Baldwin et al. (2017), Master spatial file"	818	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
OBI14940	Caulanthus anceps	Robert F. Hoover		7439		1948-04-12	1948-04-12	12-Apr-48	San Luis Obispo		Cottonwood Pass (foothills on W side)	35.7781	-120.2262	WGS84	"Baldwin et al. (2017), Master spatial file"	818	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC1296274	Caulanthus anceps	R. F. Hoover		7579		1949-04-02	1949-04-02	Apr 2 1949	San Luis Obispo		w side Cottonwood Pass	35.778118	-120.226229	WGS84	GeoLocate (copied from GH424656)	818	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
JEPS54051	Caulanthus anceps	W. L. Jepson		16198		1932-04-02	1932-04-02	Apr 2 1932	San Luis Obispo	502 m	Palo Prieto Canyon	35.710522	-120.297094	WGS84	GeoLocate (copied from JEPS25319)	840	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38254	Caulanthus anceps	R. F. Hoover		7774		1950-03-31	1950-03-31	31-Mar-50	San Luis Obispo		La Panza District.	35.361082	-120.215428	GeoLocate (copied from CAS234873)	WGS84	893	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38256	Caulanthus anceps	R. F. Hoover		8074		1952-04-08	1952-04-08	08-Apr-52	San Luis Obispo		La Panza district.	35.361082	-120.215428	GeoLocate (copied from CAS234873)	WGS84	893	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
OBI14936	Caulanthus anceps	Robert F. Hoover		7774		1950-03-31	1950-03-31	31-Mar-50	San Luis Obispo		La Panza district	35.361082	-120.215428	WGS84	GeoLocate (copied from CAS234873)	893	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
OBI14939	Caulanthus anceps	Robert F. Hoover		8074		1952-04-08	1952-04-08	08-Apr-52	San Luis Obispo		La Panza district	35.361082	-120.215428	WGS84	GeoLocate (copied from CAS234873)	893	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38205	Caulanthus anceps	Alice Eastwood		13896		1926-05-05	1926-05-05	05-May-26	San Luis Obispo		Cholame.	35.724	-120.296	Terrain Nav. v. 8.7 (copied from SBBG83199)	NAD27	1000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38206	Caulanthus anceps	Alice Eastwood; John Thomas Howell		2003		1935-03-25	1935-03-25	"Mar. 25, 1935"	San Luis Obispo		Cholame.	35.724	-120.296	Terrain Nav. v. 8.7 (copied from SBBG83199)	NAD27	1000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
