"id","clim_year","clim_month","clim_date","elev_prism_m","ppt_mm","tmin","tave","tmax"
"SD241782",1955,8,195508,331,0,14.5,25.7,37
"SD241782",1955,9,195509,331,0,11.9,22.6,33.3
"SD241782",1955,10,195510,331,0,9,18.4,27.9
"SD241782",1955,11,195511,331,22.52,3.2,11.1,19
"SD241782",1955,12,195512,331,161.31,4.5,9.8,15
"SD241782",1956,1,195601,331,59.37,4,9.2,14.5
"SD241782",1956,2,195602,331,20.01,-0.2,7.2,14.5
"SD241782",1956,3,195603,331,0.25,2.8,11.6,20.4
"SD241782",1956,4,195604,331,28.94,5.8,14.1,22.3
"SD241782",1956,5,195605,331,18.19,9.1,18.2,27.3
"SD241782",1956,6,195606,331,0,12.3,22.9,33.6
"SD241782",1956,7,195607,331,0,14.2,25.3,36.3
"SD241782",1956,8,195608,331,0,12.3,22.9,33.5
"SD241782",1956,9,195609,331,2.35,12.4,22.5,32.7
"SD241782",1956,10,195610,331,19.22,7.9,16.2,24.4
"SD241782",1956,11,195611,331,0,2.5,12.1,21.7
"SD241782",1956,12,195612,331,5.99,-0.1,8,16.1
"SD241782",1957,1,195701,331,50.11,-0.6,5.9,12.3
"SD241782",1957,2,195702,331,45.15,5.5,11.1,16.8
"SD241782",1957,3,195703,331,25.81,5,12.2,19.4
"SD241782",1957,4,195704,331,31.73,6.7,15.1,23.4
"SD241782",1957,5,195705,331,19.37,9,17.4,25.7
"SD241782",1957,6,195706,331,4.19,13.8,24.1,34.3
"SD241782",1957,7,195707,331,0,14.7,25.8,36.9
"SD241782",1957,8,195708,331,0,12.8,23.9,34.9
"SD241782",1957,9,195709,331,1.78,12.4,22.1,31.8
"SD241782",1957,10,195710,331,25.31,9.3,16.8,24.2
"SD241782",1957,11,195711,331,12.78,3.2,10.7,18.2
"SD241782",1957,12,195712,331,52.4,1.2,7.9,14.6
"SD241782",1958,1,195801,331,52.47,0.9,8.1,15.4
"SD241782",1958,2,195802,331,120.59,5.4,11.6,17.9
"SD241782",1958,3,195803,331,123.13,3.3,9.4,15.5
"SD241782",1958,4,195804,331,77.15,5.7,13.9,22.2
"SD241782",1958,5,195805,331,11.61,10.3,19.6,29
"SD241782",1958,6,195806,331,1.56,12.3,21.5,30.8
"SD241782",1958,7,195807,331,0,14.3,25.1,36
"SD241782",1958,8,195808,331,0,17.4,27.7,37.9
"SD241782",1958,9,195809,331,14.48,12.8,22.8,32.8
"SD241782",1958,10,195810,331,0,11.1,20.5,29.9
"SD241782",1958,11,195811,331,5.18,3.8,12.5,21.2
"SD241782",1958,12,195812,331,6.47,1.6,10.6,19.6
"SD241782",1959,1,195901,331,36.73,3.2,9.8,16.4
"SD241782",1959,2,195902,331,100.26,1.8,8.8,15.7
"SD241782",1959,3,195903,331,2.66,4.4,13.3,22.2
"SD241782",1959,4,195904,331,10.24,6.6,16.8,27
"SD241782",1959,5,195905,331,0.2,7.8,17.3,26.8
"SD241782",1959,6,195906,331,0,12.8,23.6,34.3
"SD241782",1959,7,195907,331,0,15.5,26.9,38.3
"SD241782",1959,8,195908,331,0,13.9,24.4,34.9
"SD241782",1959,9,195909,331,11.14,11.8,21.2,30.5
"SD241782",1959,10,195910,331,0,9.8,18.8,27.9
"SD241782",1959,11,195911,331,0,1.9,12.4,23
"SD241782",1959,12,195912,331,9.19,0.1,8.7,17.3
"SD241782",1960,1,196001,331,34.77,0.4,7,13.6
"SD241782",1960,2,196002,331,79,2.6,9,15.4
"SD241782",1960,3,196003,331,17.66,5.6,13.2,20.7
"SD241782",1960,4,196004,331,23.9,6.3,14.7,23.1
"SD241782",1960,5,196005,331,0.43,8.4,17.8,27.3
"SD241782",1960,6,196006,331,0,14.4,25.5,36.6
"SD241782",1960,7,196007,331,0,16,26.9,37.9
"SD241782",1960,8,196008,331,0,13.1,24.5,35.8
"SD241782",1960,9,196009,331,0.38,12,22.9,33.9
"SD241782",1960,10,196010,331,2.74,8,16.8,25.6
"SD241782",1960,11,196011,331,61.79,4.2,10.7,17.1
"SD241782",1960,12,196012,331,13.68,0.6,7.2,13.8
"SD241782",1961,1,196101,331,37.75,-0.6,6.8,14.1
"SD241782",1961,2,196102,331,18.26,3.7,10.5,17.3
"SD241782",1961,3,196103,331,27.1,3.5,11,18.5
"SD241782",1961,4,196104,331,9.97,5.8,15.2,24.6
"SD241782",1961,5,196105,331,8.3,7.7,16.5,25.3
"SD241782",1961,6,196106,331,3.16,14.3,24.8,35.4
"SD241782",1961,7,196107,331,0,15.8,26.7,37.6
"SD241782",1961,8,196108,331,0,16.2,26,35.7
"SD241782",1961,9,196109,331,0,11.2,21.1,31.1
"SD241782",1961,10,196110,331,0,9,17.8,26.6
"SD241782",1961,11,196111,331,49.22,2.7,10.7,18.6
"SD241782",1961,12,196112,331,35.76,1.6,7.2,12.8
"SD241782",1962,1,196201,331,27.12,-1.1,5.7,12.5
"SD241782",1962,2,196202,331,173.21,3.3,8.1,12.9
"SD241782",1962,3,196203,331,25.75,2.8,9.4,16.1
"SD241782",1962,4,196204,331,0.3,6.7,16.3,25.9
"SD241782",1962,5,196205,331,1.21,7.7,16.5,25.2
"SD241782",1962,6,196206,331,0,11.6,22.2,32.9
"SD241782",1962,7,196207,331,0,13.2,24.5,35.9
"SD241782",1962,8,196208,331,0,13.4,24.1,34.8
"SD241782",1962,9,196209,331,0,11.5,21.9,32.4
"SD241782",1962,10,196210,331,11.91,8.8,17,25.1
"SD241782",1962,11,196211,331,2.35,4.6,12.7,20.8
"SD241782",1962,12,196212,331,38.16,1.7,9.2,16.6
"SD241782",1963,1,196301,331,13.48,-2.3,5.8,14
"SD241782",1963,2,196302,331,93.25,6.8,13,19.2
"SD241782",1963,3,196303,331,45.04,3,10.4,17.8
"SD241782",1963,4,196304,331,49.86,4.9,11.9,18.8
"SD241782",1963,5,196305,331,6.86,9.2,17.7,26.2
"SD241782",1963,6,196306,331,4.39,11.1,21,31
"SD241782",1963,7,196307,331,0,12.1,23.3,34.5
"SD241782",1963,8,196308,331,0,13.3,23.8,34.2
"SD241782",1963,9,196309,331,4.26,13.3,22.8,32.3
"SD241782",1963,10,196310,331,31.45,9.8,17.4,25
"SD241782",1963,11,196311,331,45.33,4.7,10.8,16.8
"SD241782",1963,12,196312,331,4.73,0.5,5.8,11
"SD241782",1964,1,196401,331,18.26,-0.2,6.6,13.5
"SD241782",1964,2,196402,331,1.53,0.3,8.7,17
"SD241782",1964,3,196403,331,28.89,2.3,10.2,18.1
"SD241782",1964,4,196404,331,10.97,5.2,14,22.7
"SD241782",1964,5,196405,331,1.32,7.3,16.4,25.4
"SD241782",1964,6,196406,331,3.82,11.6,21.4,31.1
"SD241782",1964,7,196407,331,0,14.1,25.1,36.1
"SD241782",1964,8,196408,331,0,14.4,24.6,34.9
"SD241782",1964,9,196409,331,3.55,10.1,20.5,30.9
"SD241782",1964,10,196410,331,29.13,10.7,19.6,28.5
"SD241782",1964,11,196411,331,37.64,4,9.9,15.9
"SD241782",1964,12,196412,331,63.8,4.2,9.4,14.7
"SD241782",1965,1,196501,331,15.61,2.5,8.1,13.6
"SD241782",1965,2,196502,331,13.19,2.4,9.6,16.7
"SD241782",1965,3,196503,331,25.12,4.3,11.4,18.4
"SD241782",1965,4,196504,331,54.08,7.2,14,20.8
"SD241782",1965,5,196505,331,0,8.5,18.1,27.6
"SD241782",1965,6,196506,331,0,10.5,20.2,29.9
"SD241782",1965,7,196507,331,0,13.3,24.1,34.9
"SD241782",1965,8,196508,331,2.57,14.5,24.7,34.8
"SD241782",1965,9,196509,331,0,9.6,19.5,29.3
"SD241782",1965,10,196510,331,0.79,9.7,19.2,28.6
"SD241782",1965,11,196511,331,108.51,6.4,12.3,18.2
"SD241782",1965,12,196512,331,50.8,0.5,5.9,11.3
"UC1529013",1951,1,195101,580,44.2,2,7.5,13.1
"UC1529013",1951,2,195102,580,20.87,2.1,8.6,15
"UC1529013",1951,3,195103,580,6.87,2.5,10.3,18
"UC1529013",1951,4,195104,580,19.34,6.2,14.1,21.9
"UC1529013",1951,5,195105,580,1.23,8.5,17.7,26.9
"UC1529013",1951,6,195106,580,0,11.7,21.7,31.8
"UC1529013",1951,7,195107,580,0,14.3,25.1,35.9
"UC1529013",1951,8,195108,580,0,14.6,25,35.5
"UC1529013",1951,9,195109,580,0,12.6,23,33.4
"UC1529013",1951,10,195110,580,12.32,9.1,17.5,25.9
"UC1529013",1951,11,195111,580,33.68,4.9,11.9,18.9
"UC1529013",1951,12,195112,580,67.18,1,6.8,12.6
"UC1529013",1952,1,195201,580,94.36,1.3,6.3,11.3
"UC1529013",1952,2,195202,580,10.64,3.3,9.3,15.2
"UC1529013",1952,3,195203,580,102.43,3.1,8.3,13.5
"UC1529013",1952,4,195204,580,24.47,6.5,13.8,21.1
"UC1529013",1952,5,195205,580,0,9.1,18.7,28.3
"UC1529013",1952,6,195206,580,0,8.9,18.5,28.1
"UC1529013",1952,7,195207,580,0,16.1,26.3,36.5
"UC1529013",1952,8,195208,580,0,15,25.4,35.8
"UC1529013",1952,9,195209,580,0.55,12.4,22.8,33.1
"UC1529013",1952,10,195210,580,0,11.8,20.2,28.6
"UC1529013",1952,11,195211,580,46.63,3.3,10.5,17.6
"UC1529013",1952,12,195212,580,94.49,2.9,8.5,14
"UC1529013",1953,1,195301,580,21.74,3.8,9.7,15.7
"UC1529013",1953,2,195302,580,0,1,8.7,16.5
"UC1529013",1953,3,195303,580,15.2,2.5,10.2,18
"UC1529013",1953,4,195304,580,25.31,4.6,12.8,21
"UC1529013",1953,5,195305,580,4.97,4.7,13.7,22.8
"UC1529013",1953,6,195306,580,1.49,8.9,18.7,28.4
"UC1529013",1953,7,195307,580,0,16.4,27,37.5
"UC1529013",1953,8,195308,580,0,13.7,23.4,33.2
"UC1529013",1953,9,195309,580,0,13.5,23,32.5
"UC1529013",1953,10,195310,580,0,7.9,17,26
"UC1529013",1953,11,195311,580,47.03,5.7,12.2,18.6
"UC1529013",1953,12,195312,580,2.53,0.4,8,15.6
"UC1529013",1954,1,195401,580,69.01,1.2,7.5,13.8
"UC1529013",1954,2,195402,580,42.77,2.5,9.9,17.3
"UC1529013",1954,3,195403,580,73.01,2.8,8.9,15.1
"UC1529013",1954,4,195404,580,10.17,7.8,15.7,23.6
"UC1529013",1954,5,195405,580,0.66,8.9,18.6,28.4
"UC1529013",1954,6,195406,580,0,10.3,20.3,30.3
"UC1529013",1954,7,195407,580,0,16.2,26.7,37.1
"UC1529013",1954,8,195408,580,0,12.9,23,33.2
"UC1529013",1954,9,195409,580,0,10.7,20.9,31.2
"UC1529013",1954,10,195410,580,0,8.5,17.4,26.3
"UC1529013",1954,11,195411,580,16.61,4.8,11.8,18.8
"UC1529013",1954,12,195412,580,44.26,1,7.4,13.7
"UC1529013",1955,1,195501,580,91.51,-0.5,5.1,10.7
"UC1529013",1955,2,195502,580,43.73,0.5,7.4,14.3
"UC1529013",1955,3,195503,580,6.98,2.4,10,17.6
"UC1529013",1955,4,195504,580,33.01,2.5,10.8,19.1
"UC1529013",1955,5,195505,580,31.76,8.4,16.9,25.3
"UC1529013",1955,6,195506,580,0,10.3,20.4,30.4
"UC1529013",1955,7,195507,580,0,12.6,23.2,33.8
"UC1529013",1955,8,195508,580,0.75,16.1,26.8,37.5
"UC1529013",1955,9,195509,580,0,12.1,22.6,33.2
"UC1529013",1955,10,195510,580,0,10.3,18.8,27.3
"UC1529013",1955,11,195511,580,29.92,2.8,10.5,18.2
"UC1529013",1955,12,195512,580,131.26,3.6,9,14.4
"UC1529013",1956,1,195601,580,72.48,3,8.4,13.8
"UC1529013",1956,2,195602,580,13.62,-0.7,6.1,12.8
"UC1529013",1956,3,195603,580,0,2,10.4,18.9
"UC1529013",1956,4,195604,580,27.23,5,12.7,20.4
"UC1529013",1956,5,195605,580,20.95,8.4,17,25.7
"UC1529013",1956,6,195606,580,0,11.9,22,32.2
"UC1529013",1956,7,195607,580,0,15.6,25.6,35.7
"UC1529013",1956,8,195608,580,0,13.6,23.8,34
"UC1529013",1956,9,195609,580,0,12.8,22.9,32.9
"UC1529013",1956,10,195610,580,17.46,9.2,16.6,23.9
"UC1529013",1956,11,195611,580,0,2.7,11.8,20.9
"UC1529013",1956,12,195612,580,3.58,0.3,8.2,16.1
"UC1529013",1957,1,195701,580,70.17,-0.1,6,12.2
"UC1529013",1957,2,195702,580,37.91,5.8,10.6,15.4
"UC1529013",1957,3,195703,580,22.06,4.8,11.3,17.8
"UC1529013",1957,4,195704,580,29.79,6.2,13.9,21.6
"UC1529013",1957,5,195705,580,20.65,8.3,16.3,24.3
"UC1529013",1957,6,195706,580,5.23,13.4,23.6,33.8
"UC1529013",1957,7,195707,580,0,15.2,25.9,36.6
"UC1529013",1957,8,195708,580,0,13.7,24.4,35
"UC1529013",1957,9,195709,580,0,12.6,22.2,31.9
"UC1529013",1957,10,195710,580,30.64,10.2,16.9,23.7
"UC1529013",1957,11,195711,580,13.87,3.3,10.3,17.4
"UC1529013",1957,12,195712,580,53.82,2.2,8.2,14.2
"UC1529013",1958,1,195801,580,52.25,1.6,8.3,15.1
"UC1529013",1958,2,195802,580,116.45,5.4,10.9,16.5
"UC1529013",1958,3,195803,580,132.27,3.2,8.6,14.1
"UC1529013",1958,4,195804,580,107.13,5.4,13,20.5
"UC1529013",1958,5,195805,580,13.1,9.6,18.5,27.5
"UC1529013",1958,6,195806,580,0,10.7,20.3,30
"UC1529013",1958,7,195807,580,0,14.8,25,35.1
"UC1529013",1958,8,195808,580,0.34,18.2,27.7,37.3
"UC1529013",1958,9,195809,580,27.48,13,22.7,32.5
"UC1529013",1958,10,195810,580,0,12.6,20.9,29.3
"UC1529013",1958,11,195811,580,6.36,4.7,12.4,20
"UC1529013",1958,12,195812,580,5.71,1.9,10.8,19.7
"UC1529013",1959,1,195901,580,41.02,3.9,9.9,15.8
"UC1529013",1959,2,195902,580,84.72,2.2,8.1,13.9
"UC1529013",1959,3,195903,580,0.02,5.2,13,20.8
"UC1529013",1959,4,195904,580,9.23,6.9,16,25
"UC1529013",1959,5,195905,580,1.29,7.3,16.3,25.3
"UC1529013",1959,6,195906,580,0,12.6,23,33.5
"UC1529013",1959,7,195907,580,0,17,27.5,38.1
"UC1529013",1959,8,195908,580,0,14.9,25,35
"UC1529013",1959,9,195909,580,17.85,12,21.4,30.8
"UC1529013",1959,10,195910,580,0,11.5,19.6,27.7
"UC1529013",1959,11,195911,580,0,2.7,12.5,22.4
"UC1529013",1959,12,195912,580,9.59,1.2,9.2,17.3
"UC1529013",1960,1,196001,580,57.43,0.9,7.1,13.3
"UC1529013",1960,2,196002,580,64.08,2.6,8.5,14.4
"UC1529013",1960,3,196003,580,17.8,5.7,12.6,19.5
"UC1529013",1960,4,196004,580,30.48,5.6,13.7,21.8
"UC1529013",1960,5,196005,580,0.77,7.9,16.9,26
"UC1529013",1960,6,196006,580,0,14.4,25,35.6
"UC1529013",1960,7,196007,580,0,17,27.3,37.5
"UC1529013",1960,8,196008,580,0,14.7,25.3,35.9
"UC1529013",1960,9,196009,580,0,12.6,23.1,33.7
"UC1529013",1960,10,196010,580,9.34,9.6,17.5,25.4
"UC1529013",1960,11,196011,580,79.94,4,10.1,16.3
"UC1529013",1960,12,196012,580,15.91,1.2,7.6,14
"UC1529013",1961,1,196101,580,29.47,-0.3,7.6,15.5
"UC1529013",1961,2,196102,580,11.75,3.5,10.1,16.7
"UC1529013",1961,3,196103,580,18.42,3.4,10.3,17.1
"UC1529013",1961,4,196104,580,4.83,5.7,14.5,23.3
"UC1529013",1961,5,196105,580,8.73,6.8,15.5,24.2
"UC1529013",1961,6,196106,580,0,14,24.2,34.4
"UC1529013",1961,7,196107,580,0,16.6,27,37.3
"UC1529013",1961,8,196108,580,0,16.9,26.4,35.8
"UC1529013",1961,9,196109,580,0,10.9,20.9,30.9
"UC1529013",1961,10,196110,580,0,10,18.2,26.5
"UC1529013",1961,11,196111,580,39,2.9,10.4,18
"UC1529013",1961,12,196112,580,42.61,1.4,7,12.7
"UC1529013",1962,1,196201,580,41.29,-0.2,6.7,13.6
"UC1529013",1962,2,196202,580,166.45,3.1,8,12.9
"UC1529013",1962,3,196203,580,36.87,2.3,8.5,14.8
"UC1529013",1962,4,196204,580,0,6.7,15.6,24.5
"UC1529013",1962,5,196205,580,2.32,6.4,15.2,24.1
"UC1529013",1962,6,196206,580,0,11,21.5,32
"UC1529013",1962,7,196207,580,0,13.9,24.8,35.7
"UC1529013",1962,8,196208,580,0,14,24.5,35
"UC1529013",1962,9,196209,580,0,11.4,21.7,32
"UC1529013",1962,10,196210,580,14.89,10.1,17.5,24.9
"UC1529013",1962,11,196211,580,0,4.4,12.2,20.1
"UC1529013",1962,12,196212,580,32.28,2.2,9.7,17.1
"UC1529013",1963,1,196301,580,34.61,-1.5,6.2,13.8
"UC1529013",1963,2,196302,580,97.2,6.1,12.7,19.3
"UC1529013",1963,3,196303,580,57.21,2,9.5,17
"UC1529013",1963,4,196304,580,58.38,3,10.3,17.5
"UC1529013",1963,5,196305,580,10.36,8,16.4,24.9
"UC1529013",1963,6,196306,580,3.26,9.8,19.7,29.5
"UC1529013",1963,7,196307,580,0,12.7,23.5,34.3
"UC1529013",1963,8,196308,580,0,13.9,24.2,34.5
"UC1529013",1963,9,196309,580,9.32,12.7,22.3,32
"UC1529013",1963,10,196310,580,28.73,11.3,18,24.8
"UC1529013",1963,11,196311,580,54.64,3.8,10.3,16.8
"UC1529013",1963,12,196312,580,1.88,0.4,6.7,13
"UC1529013",1964,1,196401,580,32.72,-0.4,6.6,13.6
"UC1529013",1964,2,196402,580,1.75,0.9,8.6,16.3
"UC1529013",1964,3,196403,580,19.86,2.8,9.8,16.8
"UC1529013",1964,4,196404,580,20.52,5.2,13.1,21
"UC1529013",1964,5,196405,580,9.03,6.9,15.5,24.1
"UC1529013",1964,6,196406,580,2.94,10.7,20.5,30.4
"UC1529013",1964,7,196407,580,0,14.9,25.3,35.8
"UC1529013",1964,8,196408,580,0,15.2,25.2,35.3
"UC1529013",1964,9,196409,580,3.39,10.2,20.4,30.5
"UC1529013",1964,10,196410,580,35.41,12.3,20.3,28.3
"UC1529013",1964,11,196411,580,38.47,3.9,9.7,15.5
"UC1529013",1964,12,196412,580,32.32,3.9,9.2,14.6
"UC1529013",1965,1,196501,580,27.92,3,8.3,13.6
"UC1529013",1965,2,196502,580,14.59,3,9.9,16.8
"UC1529013",1965,3,196503,580,31.22,4.1,10.6,17.2
"UC1529013",1965,4,196504,580,74.72,6.5,13.1,19.6
"UC1529013",1965,5,196505,580,0,8,17.1,26.3
"UC1529013",1965,6,196506,580,0,9.6,19,28.4
"UC1529013",1965,7,196507,580,0.56,14.1,24.4,34.7
"UC1529013",1965,8,196508,580,0,15.2,25.1,35
"UC1529013",1965,9,196509,580,0.38,9.7,19.3,28.9
"UC1529013",1965,10,196510,580,0,10.8,19.5,28.1
"UC1529013",1965,11,196511,580,128.85,6,11.7,17.4
"UC1529013",1965,12,196512,580,63.51,0.8,6.5,12.1
"CAS-BOT-BC38",1951,1,195101,1460,64.43,-3.8,3.7,11.2
"CAS-BOT-BC38",1951,2,195102,1460,38.44,-3.6,4.2,12
"CAS-BOT-BC38",1951,3,195103,1460,18.77,-2.4,6.3,15.1
"CAS-BOT-BC38",1951,4,195104,1460,41.28,0.2,9.8,19.5
"CAS-BOT-BC38",1951,5,195105,1460,3.72,2.4,13.4,24.3
"CAS-BOT-BC38",1951,6,195106,1460,0,5.8,17.4,29.1
"CAS-BOT-BC38",1951,7,195107,1460,0,9.4,21.4,33.5
"CAS-BOT-BC38",1951,8,195108,1460,0,8.1,20.8,33.5
"CAS-BOT-BC38",1951,9,195109,1460,0,5.5,18.3,31
"CAS-BOT-BC38",1951,10,195110,1460,20.38,1.6,12.5,23.4
"CAS-BOT-BC38",1951,11,195111,1460,51.5,-1.1,7,15.1
"CAS-BOT-BC38",1951,12,195112,1460,141.4,-4.2,2.5,9.2
"CAS-BOT-BC38",1952,1,195201,1460,370.86,-5.7,0.9,7.6
"CAS-BOT-BC38",1952,2,195202,1460,7.37,-3,4.1,11.2
"CAS-BOT-BC38",1952,3,195203,1460,206.69,-4.3,2.6,9.5
"CAS-BOT-BC38",1952,4,195204,1460,57.77,0.1,9.4,18.7
"CAS-BOT-BC38",1952,5,195205,1460,0,4.6,15.1,25.6
"CAS-BOT-BC38",1952,6,195206,1460,0,2.7,14,25.4
"CAS-BOT-BC38",1952,7,195207,1460,8.1,9.2,21.2,33.3
"CAS-BOT-BC38",1952,8,195208,1460,0,8.5,21.1,33.6
"CAS-BOT-BC38",1952,9,195209,1460,8.89,7.1,18.8,30.5
"CAS-BOT-BC38",1952,10,195210,1460,0,3.7,14.8,26
"CAS-BOT-BC38",1952,11,195211,1460,79.91,-2.6,5.5,13.6
"CAS-BOT-BC38",1952,12,195212,1460,146.07,-3.4,3.3,10
"CAS-BOT-BC38",1953,1,195301,1460,44.42,-1.5,6.1,13.7
"CAS-BOT-BC38",1953,2,195302,1460,1.15,-4,4.4,12.7
"CAS-BOT-BC38",1953,3,195303,1460,14.37,-3.1,5.7,14.6
"CAS-BOT-BC38",1953,4,195304,1460,38.21,-0.6,8.7,18.1
"CAS-BOT-BC38",1953,5,195305,1460,2.64,-0.6,9.9,20.4
"CAS-BOT-BC38",1953,6,195306,1460,0.73,3.9,14.6,25.3
"CAS-BOT-BC38",1953,7,195307,1460,0,10.5,22.5,34.5
"CAS-BOT-BC38",1953,8,195308,1460,0,6.9,19.2,31.5
"CAS-BOT-BC38",1953,9,195309,1460,0,5.6,17.9,30.1
"CAS-BOT-BC38",1953,10,195310,1460,0,0.9,12.2,23.6
"CAS-BOT-BC38",1953,11,195311,1460,57.53,0,8.5,17
"CAS-BOT-BC38",1953,12,195312,1460,2.67,-3.7,4.3,12.3
"CAS-BOT-BC38",1954,1,195401,1460,146.17,-4.1,3.5,11.1
"CAS-BOT-BC38",1954,2,195402,1460,95.75,-0.9,7.6,16.1
"CAS-BOT-BC38",1954,3,195403,1460,113.03,-2.9,5,12.9
"CAS-BOT-BC38",1954,4,195404,1460,10.67,1.9,11.4,20.9
"CAS-BOT-BC38",1954,5,195405,1460,0,3.9,14.9,25.9
"CAS-BOT-BC38",1954,6,195406,1460,0,4.7,16.2,27.8
"CAS-BOT-BC38",1954,7,195407,1460,0,10.6,22.5,34.3
"CAS-BOT-BC38",1954,8,195408,1460,0,6.2,18.5,30.9
"CAS-BOT-BC38",1954,9,195409,1460,0,4.2,16.6,29
"CAS-BOT-BC38",1954,10,195410,1460,0,0.7,12.3,23.9
"CAS-BOT-BC38",1954,11,195411,1460,32.45,0.1,8.9,17.7
"CAS-BOT-BC38",1954,12,195412,1460,56.01,-3.8,3.5,10.8
"CAS-BOT-BC38",1955,1,195501,1460,116.43,-5.7,1.1,7.8
"CAS-BOT-BC38",1955,2,195502,1460,67.42,-4.8,2.7,10.3
"CAS-BOT-BC38",1955,3,195503,1460,12.85,-2.6,6.2,15
"CAS-BOT-BC38",1955,4,195504,1460,50.57,-2.2,7.5,17.2
"CAS-BOT-BC38",1955,5,195505,1460,81.05,1.7,12.2,22.7
"CAS-BOT-BC38",1955,6,195506,1460,0,4.6,16.2,27.7
"CAS-BOT-BC38",1955,7,195507,1460,0,7,19.2,31.4
"CAS-BOT-BC38",1955,8,195508,1460,0.53,9.6,22.3,34.9
"CAS-BOT-BC38",1955,9,195509,1460,0,5.9,18.1,30.3
"CAS-BOT-BC38",1955,10,195510,1460,0,2.5,13.5,24.5
"CAS-BOT-BC38",1955,11,195511,1460,34.95,-1.6,7.1,15.8
"CAS-BOT-BC38",1955,12,195512,1460,129.58,-1.7,4.7,11.2
"CAS-BOT-BC38",1956,1,195601,1460,171.51,-2.2,5.1,12.3
"CAS-BOT-BC38",1956,2,195602,1460,28.15,-5.5,1.8,9.2
"CAS-BOT-BC38",1956,3,195603,1460,0,-2.2,6.9,16
"CAS-BOT-BC38",1956,4,195604,1460,90.94,-0.5,8.6,17.7
"CAS-BOT-BC38",1956,5,195605,1460,44.74,2.5,12.7,23
"CAS-BOT-BC38",1956,6,195606,1460,0,5.6,17.4,29.3
"CAS-BOT-BC38",1956,7,195607,1460,0,8.5,20.5,32.6
